company,ticker,published_at,period,period_type,source_file,division,turnover,net_fees,operating_profit_pre_exceptional,operating_profit_reported,conversion_rate_pct,profit_before_tax,eps_pence,cash_generated_by_operations,net_cash_debt,metric_basis,currency,unit
Hays plc,LSE:HAS,2015-09-18,FY 2015,full_year,filings/2015-09-18__has-ln-20150918-h2-8k__671208.md,Group,3842.8,178.5,,,27.8,156.1,7.44,189.8,132.1,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2016-09-27,FY 2016,full_year,filings/2016-09-27__has-ln-20160927-h2-8k__671209.md,Group,4231.4,176.1,,,28.5,173,8.48,159.3,103.2,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2017-09-22,FY 2017,full_year,filings/2017-09-22__has-ln-20170922-h2-8k__671210.md,Group,5081,230.9,,,30,204.6,9.66,217,134,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2018-10-03,FY 2018,full_year,filings/2018-10-03__has-ln-20181003-h2-8k__671214.md,Group,5753.3,199.4,,,34.7,238.5,11.44,243.5,162.5,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2018-10-11,Q1 2019,quarter,filings/2018-10-11__has-ln-20181011-q1-8k__545962.md,Group,,30,,,,,,,,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2019-01-15,Q2 2019,quarter,filings/2019-01-15__has-ln-20190115-q2-8k__545537.md,Group,,31,,,,,,,,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2019-02-21,H1 2019,half_year,filings/2019-02-21__has-ln-20190221-h1-8k__545552.md,Group,3035.4,568,,,21.8,122.6,5.86,78.5,38.8,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2019-04-16,Q3 2019,quarter,filings/2019-04-16__has-ln-20190416-q3-8k__545905.md,Group,,31,,,,,,,,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2019-07-16,Q4 2019,quarter,filings/2019-07-16__has-ln-20190716-q4-8k__545941.md,Group,,30,,243.4,,,,,,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2019-08-29,FY 2019,full_year,filings/2019-08-29__has-ln-20190829-h2-8k-2__671212.md,Group,6070.5,198.5,-1,,33.5,231.2,11.1,263,168.9,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2019-08-29,FY 2019,full_year,filings/2019-08-29__has-ln-20190829-h2-8k__545563.md,Group,6070.5,1129.7,,,33.5,246.3,11.92,263,129.7,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2019-10-15,Q1 2020,quarter,filings/2019-10-15__has-ln-20191015-q1-8k__547669.md,Group,,30,,248.8,,,,,,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2020-01-16,Q2 2020,quarter,filings/2020-01-16__has-ln-20200116-q2-8k__545547.md,Group,,31,,,,,,,,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2020-02-20,H1 FY2020,half_year,filings/2020-02-20__has-ln-20200220-h1-8k__545729.md,Group,3104.7,553.1,2,,18.1,95.6,4.6,65.2,49.3,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2020-07-16,Q4 2020,quarter,filings/2020-07-16__has-ln-20200716-q4-8k__119731.md,Group,,30,130,,,,,,,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2020-08-27,FY 2020,full_year,filings/2020-08-27__has-ln-20200827-h2-8k-2__671211.md,Group,5929.5,170.5,-1,,28.3,86.3,3.14,247.4,354.2,pre_exceptional,GBP,gbp_millions
Hays plc,LSE:HAS,2020-08-27,FY 2020,full_year,filings/2020-08-27__has-ln-20200827-h2-8k__119727.md,Group,5929.5,996.2,248.8,,28.3,126.2,5.28,247.4,366.2,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2020-10-15,Q1 2021,quarter,filings/2020-10-15__has-ln-20201015-q1-8k__119749.md,Group,,30,,,,,,,,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2021-01-14,Q2 2021,quarter,filings/2021-01-14__has-ln-20210114-q2-8k__119743.md,Group,,31,,,,,,,,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2021-02-18,H1 2021,half_year,filings/2021-02-18__has-ln-20210218-h1-8k__119751.md,Group,2755.2,422.8,2,,5.9,21.1,0.75,64.6,-47.5,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2021-04-13,Q3 2021,quarter,filings/2021-04-13__has-ln-20210413-q3-8k__119722.md,Group,,31,,,,,,,,reported,GBP,gbp_millions
Hays plc,LSE:HAS,2021-07-15,Q4 2021,quarter,filings/2021-07-15__has-ln-20210715-q4-8k__119740.md,Group,,30,,,,,,,30,reported,GBP,gbp_millions
