company,ticker,published_at,period,source_file,division,country,contract_type,specialism,sector_type,enterprise_channel,net_fees,net_fee_share_pct,reported_growth_pct,lfl_growth_pct,operating_profit,conversion_rate_pct
Hays plc,LSE:HAS,2015-09-18,FY 2015,filings/2015-09-18__has-ln-20150918-h2-8k__671208.md,Germany,Germany,,,,,6,,-1,-1,,
Hays plc,LSE:HAS,2016-09-27,FY 2016,filings/2016-09-27__has-ln-20160927-h2-8k__671209.md,Germany,Germany,,,,,13,,-1,-1,,
Hays plc,LSE:HAS,2017-09-22,FY 2017,filings/2017-09-22__has-ln-20170922-h2-8k__671210.md,Germany,Germany,,,,,14,,-1,-1,,
Hays plc,LSE:HAS,2017-09-22,FY 2017,filings/2017-09-22__has-ln-20170922-h2-8k__671210.md,,,,Engineering,,,73,,-1,-1,,
Hays plc,LSE:HAS,2019-01-15,Q2 2019,filings/2019-01-15__has-ln-20190115-q2-8k__545537.md,Germany,Australia,temp,,,,15,,-1,-1,,
Hays plc,LSE:HAS,2019-02-21,H1 2019,filings/2019-02-21__has-ln-20190221-h1-8k__545552.md,Germany,Australia,temp_and_contracting,,,,10,,-3,-3,14,
Hays plc,LSE:HAS,2019-02-21,H1 2019,filings/2019-02-21__has-ln-20190221-h1-8k__545552.md,Germany,Germany,,,,,38,,-5,-5,14,-2
Hays plc,LSE:HAS,2019-02-21,H1 2019,filings/2019-02-21__has-ln-20190221-h1-8k__545552.md,Rest of World,,,,,,16,,-5,-5,18,-2
Hays plc,LSE:HAS,2019-02-21,H1 2019,filings/2019-02-21__has-ln-20190221-h1-8k__545552.md,United Kingdom & Ireland,Australia,,,,,,,-6.9,-6.9,,
Hays plc,LSE:HAS,2019-04-16,Q3 2019,filings/2019-04-16__has-ln-20190416-q3-8k__545905.md,ANZ,Australia,,,,,3,,-1,-1,,
Hays plc,LSE:HAS,2019-07-16,Q4 2019,filings/2019-07-16__has-ln-20190716-q4-8k__545941.md,ANZ,,temp,,,,,,-1,-1,,
Hays plc,LSE:HAS,2019-07-16,Q4 2019,filings/2019-07-16__has-ln-20190716-q4-8k__545941.md,Germany,Germany,,,,,2,,-1,-1,,
Hays plc,LSE:HAS,2019-08-29,FY 2019,filings/2019-08-29__has-ln-20190829-h2-8k-2__671212.md,Australia & New Zealand,Australia,temp,,,,18,,-1,-1,-1,
Hays plc,LSE:HAS,2019-08-29,FY 2019,filings/2019-08-29__has-ln-20190829-h2-8k-2__671212.md,ANZ,Australia,,,,,198.5,,-3,-3,-3,
Hays plc,LSE:HAS,2019-08-29,FY 2019,filings/2019-08-29__has-ln-20190829-h2-8k__545563.md,ANZ,Australia,,,,,27,,-2,-2,-2,-4
Hays plc,LSE:HAS,2019-08-29,FY 2019,filings/2019-08-29__has-ln-20190829-h2-8k__545563.md,Germany,Germany,,,,,36,,-7,-7,-2,-4
Hays plc,LSE:HAS,2019-08-29,FY 2019,filings/2019-08-29__has-ln-20190829-h2-8k__545563.md,Rest of World,,,,,,17,,-7,-7,-2,-4
