company,ticker,published_at,period,document_type,document_family,source_file,file_size_bytes,has_tables,has_guidance_terms,has_product_terms,has_numeric_content
Home Depot,HD,2012-05-15,Q1 2012,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2012-05-15__hd-us-20120515-call-pres__1534092.md,18958,false,true,true,true
Home Depot,HD,2012-05-15,Q1 2012,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,39418,false,true,true,true
Home Depot,HD,2012-06-06,FY 2012,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2012-06-06__hd-us-20120606-call-pres__1534028.md,119356,false,true,true,true
Home Depot,HD,2012-06-06,Q1 2012,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2012-06-06__hd-us-20120606-call-qna__1534029.md,55847,false,true,true,true
Home Depot,HD,2012-08-14,Q2 2012,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2012-08-14__hd-us-20120814-call-pres__1533562.md,19017,false,true,true,true
Home Depot,HD,2012-08-14,Q2 2012,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2012-08-14__hd-us-20120814-call-qna__1533563.md,31984,false,true,true,true
Home Depot,HD,2012-11-13,Q3 2012,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2012-11-13__hd-us-20121113-call-pres__1533058.md,18874,false,true,true,true
Home Depot,HD,2012-11-13,Q3 FY2013,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2012-11-13__hd-us-20121113-call-qna__1533060.md,38350,false,true,true,true
Home Depot,HD,2013-02-26,Q4 2012 and FY 2012,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2013-02-26__hd-us-20130226-call-pres__1532681.md,23076,false,true,true,true
Home Depot,HD,2013-02-26,Q4 2012,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2013-02-26__hd-us-20130226-call-qna__1532683.md,34436,false,true,true,true
Home Depot,HD,2013-05-21,Q1 2013,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2013-05-21__hd-us-20130521-call-pres__1530360.md,18242,false,true,true,true
Home Depot,HD,2013-05-21,Q1 2013,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2013-05-21__hd-us-20130521-call-qna__1530362.md,40010,false,true,true,true
Home Depot,HD,2013-05-23,FY 2012,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2013-05-23__hd-us-20130523-call-agm-pres__1529948.md,23400,false,true,true,true
Home Depot,HD,2013-05-23,FY 2013,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2013-05-23__hd-us-20130523-call-agm-qna__1529951.md,30021,false,true,true,true
Home Depot,HD,2013-08-20,Q2 2013,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2013-08-20__hd-us-20130820-call-pres__1529035.md,19727,false,true,true,true
Home Depot,HD,2013-08-20,Q2 2013,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2013-08-20__hd-us-20130820-call-qna__1529039.md,34341,false,true,true,true
Home Depot,HD,2013-11-19,Q3 2013,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2013-11-19__hd-us-20131119-call-pres__1527989.md,20030,false,true,true,true
Home Depot,HD,2013-11-19,Q3 2013,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2013-11-19__hd-us-20131119-call-qna__1527998.md,36167,false,true,true,true
Home Depot,HD,2013-12-11,FY 2013,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2013-12-11__hd-us-20131211-call-pres__1527797.md,124729,false,true,true,true
Home Depot,HD,2013-12-11,Q3 2014,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2013-12-11__hd-us-20131211-call-qna__1527798.md,46255,false,true,true,true
Home Depot,HD,2014-02-25,FY 2013,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2014-02-25__hd-us-20140225-call-pres__1527249.md,22399,false,true,true,true
Home Depot,HD,2014-02-25,Q4 2013,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2014-02-25__hd-us-20140225-call-qna__1527254.md,30368,false,true,true,true
Home Depot,HD,2014-05-20,Q1 2014,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2014-05-20__hd-us-20140520-call-pres__1526785.md,17210,false,true,true,true
Home Depot,HD,2014-05-20,Q1 2014,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2014-05-20__hd-us-20140520-call-qna__1526787.md,37645,false,true,true,true
Home Depot,HD,2014-05-22,FY 2013,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2014-05-22__hd-us-20140522-call-agm-pres__1526799.md,21932,false,true,true,true
Home Depot,HD,2014-05-22,FY 2013,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2014-05-22__hd-us-20140522-call-agm-qna__1526806.md,10774,false,false,false,true
Home Depot,HD,2014-08-19,Q2 2014,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2014-08-19__hd-us-20140819-call-pres__1524235.md,17268,false,true,true,true
Home Depot,HD,2014-08-19,Q2 2014,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2014-08-19__hd-us-20140819-call-qna__1524239.md,36634,false,true,true,true
Home Depot,HD,2014-11-18,Q3 2014,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2014-11-18__hd-us-20141118-call-pres__1523081.md,17186,false,true,true,true
Home Depot,HD,2014-11-18,Q3 2014,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2014-11-18__hd-us-20141118-call-qna__1523089.md,37727,false,true,true,true
Home Depot,HD,2015-02-24,"Q4 2014, FY 2014",CALL_TRANSCRIPT,call-transcripts,call-transcripts/2015-02-24__hd-us-20150224-call-pres-2__1522399.md,21429,false,true,true,true
Home Depot,HD,2015-02-24,FY 2014,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2015-02-24__hd-us-20150224-call-qna__1522405.md,34508,false,true,true,true
Home Depot,HD,2015-05-19,Q1 2015,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2015-05-19__hd-us-20150519-call-pres-2__1521867.md,18151,false,true,true,true
Home Depot,HD,2015-05-19,Q1 2015,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2015-05-19__hd-us-20150519-call-qna__1521868.md,37497,false,true,true,true
Home Depot,HD,2015-05-21,"FY 2014, FY 2015",CALL_TRANSCRIPT,call-transcripts,call-transcripts/2015-05-21__hd-us-20150521-call-agm-pres-2__1521754.md,22446,false,true,true,true
Home Depot,HD,2015-05-21,FY 2015,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2015-05-21__hd-us-20150521-call-agm-pres-3__1535568.md,27519,false,true,true,true
Home Depot,HD,2015-05-21,FY 2015,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2015-05-21__hd-us-20150521-call-agm-qna__1521758.md,5325,false,true,true,true
Home Depot,HD,2015-08-18,Q2 2015,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2015-08-18__hd-us-20150818-call-pres-2__1517154.md,19287,false,true,true,true
Home Depot,HD,2015-08-18,Q2 2015,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2015-08-18__hd-us-20150818-call-qna__1517155.md,34106,false,true,true,true
Home Depot,HD,2015-11-17,Q3 2015,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2015-11-17__hd-us-20151117-call-pres-2__1515900.md,19758,false,true,true,true
Home Depot,HD,2015-11-17,Q3 2015,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2015-11-17__hd-us-20151117-call-qna__1515903.md,32222,false,true,true,true
Home Depot,HD,2015-12-08,FY 2015,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2015-12-08__hd-us-20151208-call-pres-2__1515796.md,125228,false,true,true,true
Home Depot,HD,2015-12-08,FY 2015,CALL_TRANSCRIPT,call-transcripts,call-transcripts/2015-12-08__hd-us-20151208-call-pres__437724.md,170710,false,true,true,true
