company,ticker,published_at,period,source_file,question_topic,driver,affected_metric,affected_category,impact_value,impact_unit,impact_direction,time_scope,confidence_hint,quote
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,housing,"Your current guidance takes us to about a 10% operating margin, and that's with nothing really in the housing market, as",gross_margin_pct,,10,%,neutral,current,high,"Your current guidance takes us to about a 10% operating margin, and that's with nothing really in the housing market, as you mentioned, and just the beginning of the contract business coming back."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"In a stronger market, as you look at what you've done internally, what type of margin assumptions Where do you think you",gross_margin_pct,,,,positive,current,low,"In a stronger market, as you look at what you've done internally, what type of margin assumptions Where do you think you could get to?"
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,We'll talk about our longer-term margin opportunities.,gross_margin_pct,,,,neutral,current,low,We'll talk about our longer-term margin opportunities.
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"We have an opportunity, we believe, to grow our margin.",gross_margin_pct,,,,neutral,current,low,"We have an opportunity, we believe, to grow our margin."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,Your comps were much stronger than one of your competitors.,comparable_sales_total_pct,,,,positive,current,low,Your comps were much stronger than one of your competitors.
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"That would actually indicate that we lost share, although there are companies in there that, much smaller base, that hav",comparable_sales_total_pct,,,,neutral,current,low,"That would actually indicate that we lost share, although there are companies in there that, much smaller base, that have huge gains, which affects the number."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,weather,"This is going to be a little confusing, but if I look at the fourth quarter, your 5.7% comp, I think at that point you s",comparable_sales_total_pct,,5.7,%,neutral,current,high,"This is going to be a little confusing, but if I look at the fourth quarter, your 5.7% comp, I think at that point you said weather was a benefit of 200-250 basis points."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,weather,"Unknown speaker: I may be getting a little too nuanced here, but if I were to back that out, I'd say the fourth quarter ",comparable_sales_total_pct,,3.2,%,neutral,current,high,"Unknown speaker: I may be getting a little too nuanced here, but if I were to back that out, I'd say the fourth quarter weather-adjusted comp then was maybe 3.2%-3.7%."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"If I look at this quarter, you comped at 5.9% and said 300 basis points.",comparable_sales_total_pct,,5.9,%,neutral,current,high,"If I look at this quarter, you comped at 5.9% and said 300 basis points."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,weather,"Again, a little nuanced, but backing it out would suggest a 2.9% weather-adjusted comp.",comparable_sales_total_pct,,2.9,%,neutral,current,high,"Again, a little nuanced, but backing it out would suggest a 2.9% weather-adjusted comp."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,weather,"Unknown speaker: Well, it's an art as much of a science in terms of what's weather impacted.",,,,,neutral,current,low,"Unknown speaker: Well, it's an art as much of a science in terms of what's weather impacted."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,weather,"Weather, as Craig mentioned, and Marvin's here for the store side, boy, our stores were very busy.",,,,,neutral,current,low,"Weather, as Craig mentioned, and Marvin's here for the store side, boy, our stores were very busy."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,We had huge transaction growth in the first quarter.,,,,,positive,current,low,We had huge transaction growth in the first quarter.
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,weather,"I understand your point, Colin, on weather-adjusted.",,,,,neutral,current,low,"I understand your point, Colin, on weather-adjusted."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,weather,"If that's the right number, should we think about this quarter being something around a three comp, the first quarter be",comparable_sales_total_pct,,80,,neutral,current,high,"If that's the right number, should we think about this quarter being something around a three comp, the first quarter being something around a three comp on a weather-adjusted basis, then back out 80 to 100 to think about, two Q comps, something more like in the 2% range?"
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,pro,"We'll come up with a ratio that then we regress against the first quarter results, which will give us a factor to apply ",comparable_sales_total_pct,pro,,,positive,future,low,"We'll come up with a ratio that then we regress against the first quarter results, which will give us a factor to apply against the second quarter projected sales against our plan, that's how we determine what we have pulled forward."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Again, 80 to 100 basis points of our total comp growth pulled forward, that's about $120 million-$150 million.",comparable_sales_total_pct,,80,,positive,current,high,"Again, 80 to 100 basis points of our total comp growth pulled forward, that's about $120 million-$150 million."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"We call and do an eyeball test, we look at the categories where we saw sales growth that would be one-time categories, b",comparable_sales_total_pct,,,,positive,current,low,"We call and do an eyeball test, we look at the categories where we saw sales growth that would be one-time categories, be it a riding lawn tractor or a walk-behind mower, that sort of thing."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,weather,"Unknown speaker: That's Craig is just asking me to make sure it's clear that when we say weather impacted of 300, the 80",,,300,,neutral,current,high,"Unknown speaker: That's Craig is just asking me to make sure it's clear that when we say weather impacted of 300, the 80 to 100 is in that 300 number."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,pro,It seems like obviously you probably hadn't planned for comps this strong.,comparable_sales_total_pct,pro,,,positive,current,low,It seems like obviously you probably hadn't planned for comps this strong.
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,pro,"Were you able to just deal with the labor as it was because productivity so much better, or did you add labor as sales p",comparable_sales_total_pct,pro,,,positive,current,low,"Were you able to just deal with the labor as it was because productivity so much better, or did you add labor as sales picked up and found other places to take out?"
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Unknown speaker: Well, we leveraged payroll in the first quarter, but the stores did an awesome job of staffing up to me",comparable_sales_total_pct,,,,positive,current,low,"Unknown speaker: Well, we leveraged payroll in the first quarter, but the stores did an awesome job of staffing up to meet the sales demand."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"It was a big undertaking, but it really paid dividends this quarter because we're able to have our labor meet our sales ",comparable_sales_total_pct,,,,neutral,current,low,"It was a big undertaking, but it really paid dividends this quarter because we're able to have our labor meet our sales demand and schedule and forecast to that in a more effective manner."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"For the first time, our store managers were able to track their labor versus their sales performance on a daily basis.",comparable_sales_total_pct,,,,neutral,current,low,"For the first time, our store managers were able to track their labor versus their sales performance on a daily basis."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,pro,We actually saw improved sales as the numbers reflect.,comparable_sales_total_pct,pro,,,neutral,current,low,We actually saw improved sales as the numbers reflect.
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,pro,"We feel good about the process, and we feel good about the leverage we were able to create because the leverage was crea",comparable_sales_total_pct,pro,,,positive,current,low,"We feel good about the process, and we feel good about the leverage we were able to create because the leverage was created on top of increased sales and top of increased customer service scores."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,pro,"I guess, what's been the discussion internally on what you think that represents and what customers are on the other sid",,pro,,,neutral,current,low,"I guess, what's been the discussion internally on what you think that represents and what customers are on the other side of that transaction, and what projects that they're doing?"
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,pro,We're actually seeing with those pros an improvement in the number of transactions.,,pro,,,neutral,current,low,We're actually seeing with those pros an improvement in the number of transactions.
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,I wondered if you could update us a little bit more on what you're seeing in the competitive environment and if you had ,comparable_sales_total_pct,,,,positive,current,low,I wondered if you could update us a little bit more on what you're seeing in the competitive environment and if you had any commentary around the introduction of Amazon Supply.
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Unknown speaker: Kate, I would say, from a competitive perspective first, no, it would be really very early in the day t",comparable_sales_total_pct,,,,positive,future,low,"Unknown speaker: Kate, I would say, from a competitive perspective first, no, it would be really very early in the day to expect to see anything from Amazon Supply."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Obviously, it's something we're very aware of and focused on, but no competitive impact from it.",comparable_sales_total_pct,,,,neutral,current,low,"Obviously, it's something we're very aware of and focused on, but no competitive impact from it."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"Across the board, as Craig was saying, it's always worthwhile recognizing we compete in all our different business segme",comparable_sales_total_pct,,,,neutral,current,low,"Across the board, as Craig was saying, it's always worthwhile recognizing we compete in all our different business segments, across a broad range of competitors."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,demand,"One of your competitors is doing a pretty extensive line review right now, and I wondered if that was having any impact ",comparable_sales_total_pct,,,,neutral,current,low,"One of your competitors is doing a pretty extensive line review right now, and I wondered if that was having any impact at all with some of your conversations with vendors and maybe your relationship with your vendors and what you're getting into your stores."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,gross_margin,"Carol, you mentioned that the gross margins were aided mostly from improvements in supply chain.",gross_margin_pct,pro,,,positive,current,low,"Carol, you mentioned that the gross margins were aided mostly from improvements in supply chain."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,pro,"Compared to the last few quarters, it looks like those improvements are moderating.",comparable_sales_total_pct,pro,,,neutral,current,low,"Compared to the last few quarters, it looks like those improvements are moderating."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,pro,"Given the sales spikes that we had across the country, we needed to do amazing things to move product.",comparable_sales_total_pct,pro,,,neutral,current,low,"Given the sales spikes that we had across the country, we needed to do amazing things to move product."
Home Depot,HD,2012-05-15,Q1 2012,call-transcripts/2012-05-15__hd-us-20120515-call-qna__1534098.md,pro,"When you dissect that service score into components, the most improved component is the speed of checkout, and how the P",comparable_sales_total_pct,pro,,,neutral,current,low,"When you dissect that service score into components, the most improved component is the speed of checkout, and how the Pros feel about our price and our product."
