company,ticker,published_at,period,fiscal_year,fiscal_quarter,source_file,net_sales_usd_m,net_sales_yoy_pct,comparable_sales_total_pct,comparable_sales_us_pct,fx_comp_impact_bps,net_earnings_usd_m,diluted_eps_gaap_usd,adjusted_diluted_eps_usd,stores_count,srs_locations_count,associates_count,guidance_reaffirmed_flag
Home Depot,HD,2015-02-24,FY 2014,2014,,filings/2015-02-24__hd-us-20150224-q4-8k__437618.md,19200,,,,,,1.05,,2269,,,false
Home Depot,HD,2015-05-19,Q1 2015,2015,Q1,filings/2015-05-19__hd-us-20150519-q1-8k__437617.md,20900,,,,,,1.21,,2270,,,false
Home Depot,HD,2015-08-18,Q2 2015,2015,Q2,filings/2015-08-18__hd-us-20150818-q2-8k__437615.md,24800,,,,,,1.73,,2270,,,false
Home Depot,HD,2015-11-17,Q3 2015 and FY 2015 Guidance,2015,Q3,filings/2015-11-17__hd-us-20151117-q3-8k__437613.md,21800,,,,,,1.35,,2273,,,false
Home Depot,HD,2016-02-23,FY 2015,2015,,filings/2016-02-23__hd-us-20160223-q4-8k__437611.md,21000,,,,,,1.17,,2274,,,false
Home Depot,HD,2016-05-17,Q1 2016,2016,Q1,filings/2016-05-17__hd-us-20160517-q1-8k__437610.md,22800,,,,,,1.44,,2275,,,false
Home Depot,HD,2016-08-16,Q2 2016,2016,Q2,filings/2016-08-16__hd-us-20160816-q2-8k__437608.md,26500,,,,,,1.97,,2275,,,true
Home Depot,HD,2016-11-15,Q3 2016,2016,Q3,filings/2016-11-15__hd-us-20161115-q3-8k__437607.md,23200,,,,,,1.6,,2276,,,true
Home Depot,HD,2017-02-21,FY 2016,2016,,filings/2017-02-21__hd-us-20170221-q4-8k__437606.md,22200,,,,,,1.44,,2278,,,false
Home Depot,HD,2017-05-16,Q1 2017,2017,Q1,filings/2017-05-16__hd-us-20170516-q1-8k__437605.md,23900,,,,,,1.67,,2281,,,true
Home Depot,HD,2017-08-15,Q2 2017,2017,Q2,filings/2017-08-15__hd-us-20170815-q2-8k__437602.md,28100,,,,,,2.25,,2282,,,false
Home Depot,HD,2017-11-14,Q3 2017,2017,Q3,filings/2017-11-14__hd-us-20171114-q3-8k__437600.md,25000,,,,,,1.84,,2283,,,false
Home Depot,HD,2018-02-20,FY 2017,2017,,filings/2018-02-20__hd-us-20180220-q4-8k__437599.md,23900,,,,,,1.52,,2284,,,true
Home Depot,HD,2018-05-15,Q1 2018,2018,Q1,filings/2018-05-15__hd-us-20180515-q1-8k__437594.md,24900,,,,,,2.08,,2285,,,true
Home Depot,HD,2018-08-14,Q2 2018,2018,Q2,filings/2018-08-14__hd-us-20180814-q2-8k__437595.md,30500,,,,,,3.05,,2286,,,false
Home Depot,HD,2018-11-13,Q3 2018,2018,Q3,filings/2018-11-13__hd-us-20181113-q3-8k__437591.md,26300,,,,,,2.51,,2286,,,false
Home Depot,HD,2019-02-26,FY 2018,2018,,filings/2019-02-26__hd-us-20190226-q4-8k__437590.md,26500,,,,,,2.09,,2287,,,true
Home Depot,HD,2019-05-21,Q1 2019,2019,Q1,filings/2019-05-21__hd-us-20190521-q1-8k__437587.md,26400,,,,,,2.27,,2289,,,true
Home Depot,HD,2019-08-20,Q2 2019,2019,Q2,filings/2019-08-20__hd-us-20190820-q2-8k__437585.md,30800,,,,,,3.17,,2291,,,true
Home Depot,HD,2020-05-19,Q1 2020,2020,Q1,filings/2020-05-19__hd-us-20200519-q1-8k__437579.md,28300,,,,,,2.08,,2293,,,false
Home Depot,HD,2020-08-17,Q2 2020,2020,Q2,filings/2020-08-17__hd-us-20200817-q2-8k__101842.md,38100,,,,,,4.02,,2293,,,false
Home Depot,HD,2020-11-17,Q3 2020,2020,Q3,filings/2020-11-17__hd-us-20201117-q3-8k__101838.md,33500,,,,,,3.18,,2295,,,false
Home Depot,HD,2021-05-18,Q1 2021,2021,Q1,filings/2021-05-18__hd-us-20210518-q1-8k__101823.md,37500,,,,,,3.86,,2298,,,false
Home Depot,HD,2021-08-17,Q2 2021,2021,Q2,filings/2021-08-17__hd-us-20210817-q2-8k__101848.md,41100,,,,,,4.53,,,,,false
Home Depot,HD,2021-11-16,Q3 2021,2021,Q3,filings/2021-11-16__hd-us-20211116-q3-8k__101850.md,36800,,,,,,3.92,,2317,,,false
Home Depot,HD,2022-05-17,Q1 2022,2022,Q1,filings/2022-05-17__hd-us-20220517-q1-8k__101820.md,38900,,,,,,4.09,,2316,,,false
Home Depot,HD,2022-08-16,Q2 2022,2022,Q2,filings/2022-08-16__hd-us-20220816-q2-8k__101829.md,43800,,,,,,5.05,,2316,,,true
Home Depot,HD,2022-11-15,Q3 2022,2022,Q3,filings/2022-11-15__hd-us-20221115-q3-8k__101843.md,38900,,,,,,4.24,,2319,,,true
Home Depot,HD,2023-05-16,Q1 2023,2023,Q1,filings/2023-05-16__hd-us-20230516-q1-8k__101818.md,37300,,,,,,3.82,,2324,,,false
Home Depot,HD,2023-08-15,Q2 2023,2023,Q2,filings/2023-08-15__hd-us-20230815-q2-8k__101814.md,42900,,,,,,4.65,,2326,,470000,true
Home Depot,HD,2023-11-14,Q3 2023,2023,Q3,filings/2023-11-14__hd-us-20231114-q3-8k__101815.md,37700,,,,,,3.81,,2333,,,false
Home Depot,HD,2024-05-14,Q1 2024,2024,Q1,filings/2024-05-14__hd-us-20240514-q1-8k__101830.md,36400,,,,,,3.63,,2337,,,true
Home Depot,HD,2024-08-13,Q2 2024,2024,Q2,filings/2024-08-13__hd-us-20240813-q2-8k__101849.md,43200,,,,,,4.6,4.67,2340,,465000,false
Home Depot,HD,2024-11-12,Q3 2024,2024,Q3,filings/2024-11-12__hd-us-20241112-q3-8k__101844.md,40200,,,,,,3.67,3.6,2345,,465000,false
Home Depot,HD,2025-02-25,FY 2024,2024,,filings/2025-02-25__hd-us-20250225-q4-8k__101827.md,,,0.8,1.3,,,3.02,3.13,2347,,470000,false
Home Depot,HD,2025-05-20,Q1 2025,2025,Q1,filings/2025-05-20__hd-us-20250520-q1-8k__101847.md,39900,,0.2,0.2,70,,3.45,3.56,2350,,470000,true
Home Depot,HD,2025-08-19,Q2 2025,2025,Q2,filings/2025-08-19__hd-us-20250819-q2-8k__143666.md,45300,4.9,1,1.4,40,,4.58,4.68,2353,,470000,true
Home Depot,HD,2025-08-20,Q2 2025,2025,Q2,filings/2025-08-20__hd-us-20250820-q2-8k__143688.md,45300,4.9,1,1.4,40,,4.58,4.68,2353,,470000,true
Home Depot,HD,2025-11-18,Q3 2025,2025,Q3,filings/2025-11-18__hd-us-20251118-q3-8k__359994.md,41400,2.8,0.2,0.1,,,3.62,3.74,2356,1200,470000,false
Home Depot,HD,2026-02-24,FY 2025,2025,,filings/2026-02-24__hd-us-20260224-q4-8k-2__904387.md,,,0.3,,,,14.23,14.2,,,,false
Home Depot,HD,2026-02-24,Q4 2025,2025,Q4,filings/2026-02-24__hd-us-20260224-q4-8k__615609.md,,,0.4,0.3,,,2.58,2.72,2359,1250,470000,false
Home Depot,HD,2026-05-19,Q1 2026,2026,Q1,filings/2026-05-19__hd-us-20260519-q1-8k-2__1038586.md,41800,4.8,0.6,0.4,55,,3.3,3.43,2361,1280,470000,true
Home Depot,HD,2026-05-19,Q1 2026,2026,Q1,filings/2026-05-19__hd-us-20260519-q1-8k__1038584.md,41800,4.8,0.6,0.4,55,,3.3,3.43,2361,1280,470000,true
