company,ticker,published_at,period,fiscal_year,fiscal_quarter,source_file,dimension_type,dimension_name,parent_dimension_name,net_sales_usd_m,net_sales_mix_pct,operating_income_usd_m,operating_margin_pct,yoy_growth_pct,notes
Home Depot,HD,2018-02-20,FY 2017,2017,,filings/2018-02-20__hd-us-20180220-q4-10k__437572.md,department,Appliances,Decor,8147,,,,,"Appliances | $ 8,147 | 8.1 | $ 7,362 | 7.8 | $ 6,539 | 7.4"
Home Depot,HD,2018-02-20,FY 2017,2017,,filings/2018-02-20__hd-us-20180220-q4-10k__437572.md,major_product_line,Building Materials,,7342,,,,,"Building Materials | 7,342 | 7.3 | 6,774 | 7.2 | 6,416 | 7.2"
Home Depot,HD,2018-02-20,FY 2017,2017,,filings/2018-02-20__hd-us-20180220-q4-10k__437572.md,department,Electrical,Building Materials,5037,,,,,"Electrical (1) | 5,037 | 5.0 | 4,561 | 4.8 | 4,291 | 4.8"
Home Depot,HD,2018-02-20,FY 2017,2017,,filings/2018-02-20__hd-us-20180220-q4-10k__437572.md,department,Flooring,Decor,7078,,,,,"Flooring | 7,078 | 7.0 | 6,477 | 6.8 | 6,215 | 7.0"
Home Depot,HD,2018-02-20,FY 2017,2017,,filings/2018-02-20__hd-us-20180220-q4-10k__437572.md,department,Hardware,Hardlines,5891,,,,,"Hardware | 5,891 | 5.8 | 5,629 | 6.0 | 5,296 | 6.0"
Home Depot,HD,2018-02-20,FY 2017,2017,,filings/2018-02-20__hd-us-20180220-q4-10k__437572.md,department,Indoor Garden,Hardlines,9639,,,,,"Indoor Garden | 9,639 | 9.6 | 9,204 | 9.7 | 8,227 | 9.3"
Home Depot,HD,2018-02-20,FY 2017,2017,,filings/2018-02-20__hd-us-20180220-q4-10k__437572.md,department,Kitchen,Decor,7377,,,,,"Kitchen and Bath | 7,377 | 7.3 | 7,184 | 7.6 | 6,909 | 7.8"
Home Depot,HD,2018-02-20,FY 2017,2017,,filings/2018-02-20__hd-us-20180220-q4-10k__437572.md,department,Lighting,Decor,4409,,,,,"Lighting (1) | 4,409 | 4.4 | 4,423 | 4.7 | 4,249 | 4.8"
Home Depot,HD,2018-02-20,FY 2017,2017,,filings/2018-02-20__hd-us-20180220-q4-10k__437572.md,department,Lumber,Building Materials,7790,,,,,"Lumber | 7,790 | 7.7 | 6,828 | 7.2 | 6,284 | 7.1"
Home Depot,HD,2018-02-20,FY 2017,2017,,filings/2018-02-20__hd-us-20180220-q4-10k__437572.md,department,Millwork,Building Materials,5382,,,,,"Millwork | 5,382 | 5.3 | 5,139 | 5.4 | 4,937 | 5.6"
Home Depot,HD,2018-02-20,FY 2017,2017,,filings/2018-02-20__hd-us-20180220-q4-10k__437572.md,department,Outdoor Garden,Hardlines,7030,,,,,"Outdoor Garden | 7,030 | 7.0 | 6,789 | 7.2 | 6,505 | 7.3"
Home Depot,HD,2018-02-20,FY 2017,2017,,filings/2018-02-20__hd-us-20180220-q4-10k__437572.md,department,Paint,Decor,7990,,,,,"Paint | 7,990 | 7.9 | 7,666 | 8.1 | 7,497 | 8.5"
Home Depot,HD,2018-02-20,FY 2017,2017,,filings/2018-02-20__hd-us-20180220-q4-10k__437572.md,department,Plumbing,Building Materials,7356,,,,,"Plumbing | 7,356 | 7.3 | 6,985 | 7.4 | 6,364 | 7.2"
Home Depot,HD,2023-02-21,FY 2022,2022,,filings/2023-02-21__hd-us-20230221-q4-10k__132163.md,major_product_line,Building Materials,,59533,,,,,"Building Materials | $ 59,533 | $ 54,990 | $ 46,521"
Home Depot,HD,2023-02-21,FY 2022,2022,,filings/2023-02-21__hd-us-20230221-q4-10k__132163.md,major_product_line,Decor,,52322,,,,,"Decor | 52,322 | 50,437 | 43,415"
Home Depot,HD,2023-02-21,FY 2022,2022,,filings/2023-02-21__hd-us-20230221-q4-10k__132163.md,major_product_line,Hardlines,,45548,,,,,"Hardlines | 45,548 | 45,730 | 42,174"
Home Depot,HD,2023-02-21,FY 2022,2022,,filings/2023-02-21__hd-us-20230221-q4-10k__132163.md,department,Appliances,Decor,14461,,,,,"Appliances | $ 14,461 | 9.2% | $ 14,232 | 9.4% | $ 11,865 | 9.0%"
Home Depot,HD,2023-02-21,FY 2022,2022,,filings/2023-02-21__hd-us-20230221-q4-10k__132163.md,major_product_line,Building Materials,,11298,,,,,"Building Materials | 11,298 | 7.2 | 9,823 | 6.5 | 8,656 | 6.6"
Home Depot,HD,2023-02-21,FY 2022,2022,,filings/2023-02-21__hd-us-20230221-q4-10k__132163.md,department,Flooring,Decor,9222,,,,,"Flooring | 9,222 | 5.9 | 9,225 | 6.1 | 8,156 | 6.2"
Home Depot,HD,2023-02-21,FY 2022,2022,,filings/2023-02-21__hd-us-20230221-q4-10k__132163.md,department,Hardware,Hardlines,8104,,,,,"Hardware | 8,104 | 5.1 | 7,873 | 5.2 | 7,312 | 5.5"
Home Depot,HD,2023-02-21,FY 2022,2022,,filings/2023-02-21__hd-us-20230221-q4-10k__132163.md,department,Indoor Garden,Hardlines,14990,,,,,"Indoor Garden | 14,990 | 9.5 | 15,546 | 10.3 | 14,649 | 11.1"
Home Depot,HD,2023-02-21,FY 2022,2022,,filings/2023-02-21__hd-us-20230221-q4-10k__132163.md,department,Kitchen,Decor,11102,,,,,"Kitchen and Bath | 11,102 | 7.1 | 10,432 | 6.9 | 8,383 | 6.3"
Home Depot,HD,2023-02-21,FY 2022,2022,,filings/2023-02-21__hd-us-20230221-q4-10k__132163.md,department,Lumber,Building Materials,13460,,,,,"Lumber | 13,460 | 8.6 | 13,344 | 8.8 | 11,309 | 8.6"
Home Depot,HD,2023-02-21,FY 2022,2022,,filings/2023-02-21__hd-us-20230221-q4-10k__132163.md,department,Millwork,Building Materials,8423,,,,,"Millwork | 8,423 | 5.4 | 7,412 | 4.9 | 6,460 | 4.9"
Home Depot,HD,2023-02-21,FY 2022,2022,,filings/2023-02-21__hd-us-20230221-q4-10k__132163.md,department,Outdoor Garden,Hardlines,10078,,,,,"Outdoor Garden | 10,078 | 6.4 | 10,317 | 6.8 | 9,602 | 7.3"
Home Depot,HD,2023-02-21,FY 2022,2022,,filings/2023-02-21__hd-us-20230221-q4-10k__132163.md,department,Paint,Decor,11180,,,,,"Paint | 11,180 | 7.1 | 10,453 | 6.9 | 10,052 | 7.6"
Home Depot,HD,2023-02-21,FY 2022,2022,,filings/2023-02-21__hd-us-20230221-q4-10k__132163.md,department,Plumbing,Building Materials,12606,,,,,"Plumbing | 12,606 | 8.0 | 10,938 | 7.2 | 8,918 | 6.8"
Home Depot,HD,2024-02-20,FY 2023,2023,,filings/2024-02-20__hd-us-20240220-q4-10k__132173.md,major_product_line,Building Materials,,57039,,,,,"Building Materials | $ 57,039 | $ 59,533 | $ 54,990"
Home Depot,HD,2024-02-20,FY 2023,2023,,filings/2024-02-20__hd-us-20240220-q4-10k__132173.md,major_product_line,Decor,,50295,,,,,"Decor | 50,295 | 52,322 | 50,437"
Home Depot,HD,2024-02-20,FY 2023,2023,,filings/2024-02-20__hd-us-20240220-q4-10k__132173.md,major_product_line,Hardlines,,45335,,,,,"Hardlines | 45,335 | 45,548 | 45,730"
Home Depot,HD,2024-02-20,FY 2023,2023,,filings/2024-02-20__hd-us-20240220-q4-10k__132173.md,department,Appliances,Decor,13863,,,,,"Appliances | $ 13,863 | 9.1% | $ 14,461 | 9.2% | $ 14,232 | 9.4%"
Home Depot,HD,2024-02-20,FY 2023,2023,,filings/2024-02-20__hd-us-20240220-q4-10k__132173.md,major_product_line,Building Materials,,11975,,,,,"Building Materials | 11,975 | 7.8 | 11,298 | 7.2 | 9,823 | 6.5"
Home Depot,HD,2024-02-20,FY 2023,2023,,filings/2024-02-20__hd-us-20240220-q4-10k__132173.md,department,Flooring,Decor,8754,,,,,"Flooring | 8,754 | 5.7 | 9,222 | 5.9 | 9,225 | 6.1"
Home Depot,HD,2024-02-20,FY 2023,2023,,filings/2024-02-20__hd-us-20240220-q4-10k__132173.md,department,Hardware,Hardlines,8147,,,,,"Hardware | 8,147 | 5.3 | 8,104 | 5.1 | 7,873 | 5.2"
Home Depot,HD,2024-02-20,FY 2023,2023,,filings/2024-02-20__hd-us-20240220-q4-10k__132173.md,department,Indoor Garden,Hardlines,14743,,,,,"Indoor Garden | 14,743 | 9.7 | 14,990 | 9.5 | 15,546 | 10.3"
Home Depot,HD,2024-02-20,FY 2023,2023,,filings/2024-02-20__hd-us-20240220-q4-10k__132173.md,department,Kitchen,Decor,10593,,,,,"Kitchen and Bath | 10,593 | 6.9 | 11,102 | 7.1 | 10,432 | 6.9"
Home Depot,HD,2024-02-20,FY 2023,2023,,filings/2024-02-20__hd-us-20240220-q4-10k__132173.md,department,Lumber,Building Materials,11731,,,,,"Lumber | 11,731 | 7.7 | 13,460 | 8.6 | 13,344 | 8.8"
Home Depot,HD,2024-02-20,FY 2023,2023,,filings/2024-02-20__hd-us-20240220-q4-10k__132173.md,department,Millwork,Building Materials,8301,,,,,"Millwork | 8,301 | 5.4 | 8,423 | 5.4 | 7,412 | 4.9"
Home Depot,HD,2024-02-20,FY 2023,2023,,filings/2024-02-20__hd-us-20240220-q4-10k__132173.md,department,Outdoor Garden,Hardlines,10278,,,,,"Outdoor Garden | 10,278 | 6.7 | 10,078 | 6.4 | 10,317 | 6.8"
Home Depot,HD,2024-02-20,FY 2023,2023,,filings/2024-02-20__hd-us-20240220-q4-10k__132173.md,department,Paint,Decor,11073,,,,,"Paint | 11,073 | 7.3 | 11,180 | 7.1 | 10,453 | 6.9"
Home Depot,HD,2024-02-20,FY 2023,2023,,filings/2024-02-20__hd-us-20240220-q4-10k__132173.md,department,Plumbing,Building Materials,12511,,,,,"Plumbing | 12,511 | 8.2 | 12,606 | 8.0 | 10,938 | 7.2"
Home Depot,HD,2024-05-14,Q1 2024,2024,Q1,filings/2024-05-14__hd-us-20240514-q1-10q__101821.md,major_product_line,Building Materials,,12614,,,,,"Building Materials | $ 12,614 | $ 12,993"
Home Depot,HD,2024-05-14,Q1 2024,2024,Q1,filings/2024-05-14__hd-us-20240514-q1-10q__101821.md,major_product_line,Decor,,12344,,,,,"Decor | 12,344 | 12,704"
Home Depot,HD,2024-05-14,Q1 2024,2024,Q1,filings/2024-05-14__hd-us-20240514-q1-10q__101821.md,major_product_line,Hardlines,,11460,,,,,"Hardlines | 11,460 | 11,560"
Home Depot,HD,2024-08-13,Q2 2024,2024,Q2,filings/2024-08-13__hd-us-20240813-q2-10q__101825.md,major_product_line,Building Materials,,13935,,,,,"Building Materials | $ 13,935 | $ 14,268 | $ 26,549 | $ 27,261"
Home Depot,HD,2024-08-13,Q2 2024,2024,Q2,filings/2024-08-13__hd-us-20240813-q2-10q__101825.md,major_product_line,Decor,,13591,,,,,"Decor | 13,591 | 13,863 | 25,935 | 26,567"
Home Depot,HD,2024-08-13,Q2 2024,2024,Q2,filings/2024-08-13__hd-us-20240813-q2-10q__101825.md,major_product_line,Hardlines,,14375,,,,,"Hardlines | 14,375 | 14,785 | 25,835 | 26,345"
Home Depot,HD,2024-08-13,Q2 2024,2024,Q2,filings/2024-08-13__hd-us-20240813-q2-10q__101825.md,segment,Primary,,41901,,,,,"Primary segment net sales | 41,901 | 42,916 | 78,319 | 80,173"
Home Depot,HD,2024-08-13,Q2 2024,2024,Q2,filings/2024-08-13__hd-us-20240813-q2-10q__101825.md,segment,Other,,1274,,,,,"Other net sales (1) | 1,274 | - | 1,274"
Home Depot,HD,2024-11-12,Q3 2024,2024,Q3,filings/2024-11-12__hd-us-20241112-q3-10q__101846.md,major_product_line,Building Materials,,13479,,,,,"Building Materials | $ 13,479 | $ 13,646 | $ 40,028 | $ 40,907"
Home Depot,HD,2024-11-12,Q3 2024,2024,Q3,filings/2024-11-12__hd-us-20241112-q3-10q__101846.md,major_product_line,Decor,,12682,,,,,"Decor | 12,682 | 13,091 | 38,617 | 39,658"
Home Depot,HD,2024-11-12,Q3 2024,2024,Q3,filings/2024-11-12__hd-us-20241112-q3-10q__101846.md,major_product_line,Hardlines,,11128,,,,,"Hardlines | 11,128 | 10,973 | 36,963 | 37,318"
Home Depot,HD,2024-11-12,Q3 2024,2024,Q3,filings/2024-11-12__hd-us-20241112-q3-10q__101846.md,segment,Primary,,37289,,,,,"Primary segment net sales | 37,289 | 37,710 | 115,608 | 117,883"
Home Depot,HD,2024-11-12,Q3 2024,2024,Q3,filings/2024-11-12__hd-us-20241112-q3-10q__101846.md,segment,Other,,2928,,,,,"Other net sales (1) | 2,928 | - | 4,202"
Home Depot,HD,2025-02-25,FY 2025,2025,,filings/2025-02-25__hd-us-20250225-q4-10k__132164.md,segment,Primary,,21313,,,,,"Primary segment operating income | $ 21,313 | $ 21,689 | $ 24,039"
Home Depot,HD,2025-05-20,Q1 2025,2025,Q1,filings/2025-05-20__hd-us-20250520-q1-10q__101832.md,segment,Primary,,5046,,,,,"Primary segment operating income | $ 5,046 | $ 5,079"
