company,ticker,published_at,guidance_period,metric,value_low,value_high,unit,basis,directionality,prior_base_value,quote,source_file
Home Depot,HD,2019-02-26,FY 2018,net_interest_expense_usd_m,1200,,usd_m,reported,approximately,,ating margin of approximately 14.4 percent - Net interest expense of approximately $1.2 billion - Tax rate of approximately 25.5 percent - S,filings/2019-02-26__hd-us-20190226-q4-8k__437590.md
Home Depot,HD,2020-02-25,FY 2019,net_interest_expense_usd_m,1200,,usd_m,reported,approximately,,ating margin of approximately 14.0 percent - Net interest expense of approximately $1.2 billion - Effective tax rate assumption of approxima,filings/2020-02-25__hd-us-20200225-q4-8k__437581.md
Home Depot,HD,2022-02-22,FY 2021,net_interest_expense_usd_m,1500,,usd_m,reported,approximately,,margin approximately flat with fiscal 2021 - Net interest expense of approximately $1.5 billion - Tax rate of approximately 24.6 percent - D,filings/2022-02-22__hd-us-20220222-q4-8k__101852.md
Home Depot,HD,2022-05-17,Q1 2022,net_interest_expense_usd_m,1600,,usd_m,reported,approximately,,ating margin of approximately 15.4 percent * Net interest expense of approximately $1.6 billion * Tax rate of approximately 24.6 percent * D,filings/2022-05-17__hd-us-20220517-q1-8k__101820.md
Home Depot,HD,2022-08-16,Q2 2022,net_interest_expense_usd_m,1600,,usd_m,reported,approximately,,ating margin of approximately 15.4 percent * Net interest expense of approximately $1.6 billion * Tax rate of approximately 24.6 percent * D,filings/2022-08-16__hd-us-20220816-q2-8k__101829.md
Home Depot,HD,2022-11-15,Q3 2022,net_interest_expense_usd_m,1600,,usd_m,reported,approximately,,ating margin of approximately 15.4 percent * Net interest expense of approximately $1.6 billion * Tax rate of approximately 24.6 percent * D,filings/2022-11-15__hd-us-20221115-q3-8k__101843.md
Home Depot,HD,2024-02-20,FY 2023,gross_margin_pct,33.9,,%,reported,approximately,,week period - Approximately 12 new stores - Gross margin of approximately 33.9% - Operating margin of approximately 14.1%,filings/2024-02-20__hd-us-20240220-q4-8k__101851.md
Home Depot,HD,2024-02-20,FY 2023,net_interest_expense_usd_m,1800,,usd_m,reported,approximately,,ly 14.1% - Tax rate of approximately 24.5% - Net interest expense of approximately $1.8 billion - 53-week diluted earnings-per-share-percent,filings/2024-02-20__hd-us-20240220-q4-8k__101851.md
Home Depot,HD,2024-05-14,Q1 2024,gross_margin_pct,33.9,,%,reported,approximately,,week period * Approximately 12 new stores * Gross margin of approximately 33.9% * Operating margin of approximately 14.1% *,filings/2024-05-14__hd-us-20240514-q1-8k__101830.md
Home Depot,HD,2024-05-14,Q1 2024,net_interest_expense_usd_m,1800,,usd_m,reported,approximately,,ly 14.1% * Tax rate of approximately 24.5% * Net interest expense of approximately $1.8 billion * 53-week diluted earnings-per-share-percent,filings/2024-05-14__hd-us-20240514-q1-8k__101830.md
Home Depot,HD,2024-08-13,Q2 2024,gross_margin_pct,33.5,,%,reported,approximately,,sumer demand - Approximately 12 new stores - Gross margin of approximately 33.5% - Operating margin rate to be between 13.5%,filings/2024-08-13__hd-us-20240813-q2-8k__101849.md
Home Depot,HD,2024-08-13,Q2 2024,net_interest_expense_usd_m,2200,,usd_m,reported,approximately,,"% (1), (2) - Tax rate of approximately 24% - Net interest expense of approximately $2.2 billion - 53-week diluted earnings-per-share-percent",filings/2024-08-13__hd-us-20240813-q2-8k__101849.md
Home Depot,HD,2024-11-12,Q3 2024,gross_margin_pct,33.5,,%,reported,approximately,,fiscal 2023 - Approximately 12 new stores - Gross margin of approximately 33.5% - Operating margin of approximately 13.5%,filings/2024-11-12__hd-us-20241112-q3-8k__101844.md
Home Depot,HD,2024-11-12,Q3 2024,net_interest_expense_usd_m,2100,,usd_m,reported,approximately,,tely 13.8% - Tax rate of approximately 24% - Net interest expense of approximately $2.1 billion - 53-week diluted earnings-per-share to decl,filings/2024-11-12__hd-us-20241112-q3-8k__101844.md
Home Depot,HD,2025-02-25,FY 2024,comparable_sales_growth_pct,1,,%,reported,approximately,,Total sales growth of approximately 2.8% - Comparable sales growth of approximately 1.0% for the comparable 52-week period - Approxim,filings/2025-02-25__hd-us-20250225-q4-8k__101827.md
Home Depot,HD,2025-02-25,FY 2024,gross_margin_pct,33.4,,%,reported,approximately,,week period - Approximately 13 new stores - Gross margin of approximately 33.4% - Operating margin of approximately 13.0%,filings/2025-02-25__hd-us-20250225-q4-8k__101827.md
Home Depot,HD,2025-02-25,FY 2024,net_interest_expense_usd_m,2200,,usd_m,reported,approximately,,3.4% (1) - Tax rate of approximately 24.5% - Net interest expense of approximately $2.2 billion - Diluted earnings-per-share to decline appr,filings/2025-02-25__hd-us-20250225-q4-8k__101827.md
Home Depot,HD,2025-02-25,FY 2024,capex_pct_sales,2.5,,%,reported,approximately,,ximately 2% from $15.24 in fiscal 2024 (1) - Capital expenditures of approximately 2.5% of total sales The Home Depot will conduct a conference cal,filings/2025-02-25__hd-us-20250225-q4-8k__101827.md
Home Depot,HD,2025-05-20,Q1 2025,comparable_sales_growth_pct,1,,%,reported,approximately,,* Total sales growth of approximately 2.8% * Comparable sales growth of approximately 1.0% for the comparable 52-week period * Approxim,filings/2025-05-20__hd-us-20250520-q1-8k__101847.md
Home Depot,HD,2025-05-20,Q1 2025,gross_margin_pct,33.4,,%,reported,approximately,,week period * Approximately 13 new stores * Gross margin of approximately 33.4% * Operating margin of approximately 13.0% *,filings/2025-05-20__hd-us-20250520-q1-8k__101847.md
Home Depot,HD,2025-05-20,Q1 2025,net_interest_expense_usd_m,2200,,usd_m,reported,approximately,,ly 13.4% * Tax rate of approximately 24.5% * Net interest expense of approximately $2.2 billion * Diluted earnings-per-share to decline appr,filings/2025-05-20__hd-us-20250520-q1-8k__101847.md
Home Depot,HD,2025-05-20,Q1 2025,capex_pct_sales,2.5,,%,reported,approximately,,pproximately 2% from $15.24 in fiscal 2024 * Capital expenditures of approximately 2.5% of total sales (1) The Company reports its financial result,filings/2025-05-20__hd-us-20250520-q1-8k__101847.md
