company,ticker,published_at,source_file,taxonomy_level,name,parent_name,description,examples
Home Depot,HD,2015-05-21,slides/2015-05-21__hd-us-20150521-slide__437786.md,category,Lumber,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-05-21,slides/2015-05-21__hd-us-20150521-slide__437786.md,category,Siding,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-05-21,slides/2015-05-21__hd-us-20150521-slide__437786.md,category,Power,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-05-21,slides/2015-05-21__hd-us-20150521-slide__437786.md,category,Consumer,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide-2__1551724.md,category,Lumber,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide-2__1551724.md,category,Roofing,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide-2__1551724.md,category,Drywall,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide-2__1551724.md,category,Insulation,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide-2__1551724.md,category,Siding,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide-2__1551724.md,category,Paint,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide-2__1551724.md,category,Plumbing,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide-2__1551724.md,category,Electrical,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide-2__1551724.md,category,Appliances,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide-2__1551724.md,category,Bath,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide-2__1551724.md,category,Flooring,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide-2__1551724.md,category,Power,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide-2__1551724.md,category,Hardware,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide-2__1551724.md,category,Storage,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide-2__1551724.md,category,MRO,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide-2__1551724.md,category,Pro,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide-2__1551724.md,category,Consumer,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide-2__1551724.md,category,DIY,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide__437784.md,category,Lumber,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide__437784.md,category,Roofing,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide__437784.md,category,Drywall,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide__437784.md,category,Insulation,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide__437784.md,category,Siding,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide__437784.md,category,Paint,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide__437784.md,category,Plumbing,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide__437784.md,category,Electrical,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide__437784.md,category,Appliances,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide__437784.md,category,Flooring,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide__437784.md,category,Landscape,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide__437784.md,category,Power,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide__437784.md,category,Hardware,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide__437784.md,category,Storage,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide__437784.md,category,MRO,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide__437784.md,category,Pro,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide__437784.md,category,Consumer,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2015-12-08,slides/2015-12-08__hd-us-20151208-slide__437784.md,category,DIY,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2016-05-19,slides/2016-05-19__hd-us-20160519-slide__437781.md,category,Paint,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2016-05-19,slides/2016-05-19__hd-us-20160519-slide__437781.md,category,Appliances,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2016-05-19,slides/2016-05-19__hd-us-20160519-slide__437781.md,category,Power,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2016-05-19,slides/2016-05-19__hd-us-20160519-slide__437781.md,category,Hardware,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2016-05-19,slides/2016-05-19__hd-us-20160519-slide__437781.md,category,Consumer,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-05-18,slides/2017-05-18__hd-us-20170518-slide__437779.md,category,Lumber,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-05-18,slides/2017-05-18__hd-us-20170518-slide__437779.md,category,Insulation,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-05-18,slides/2017-05-18__hd-us-20170518-slide__437779.md,category,Paint,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-05-18,slides/2017-05-18__hd-us-20170518-slide__437779.md,category,Appliances,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-05-18,slides/2017-05-18__hd-us-20170518-slide__437779.md,category,Bath,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-05-18,slides/2017-05-18__hd-us-20170518-slide__437779.md,category,Power,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-05-18,slides/2017-05-18__hd-us-20170518-slide__437779.md,category,Hardware,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-05-18,slides/2017-05-18__hd-us-20170518-slide__437779.md,category,Pro,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-05-18,slides/2017-05-18__hd-us-20170518-slide__437779.md,category,Consumer,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,Lumber,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,Roofing,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,Drywall,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,Insulation,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,Siding,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,Paint,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,Plumbing,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,Electrical,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,Appliances,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,Bath,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,Flooring,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,HVAC,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,Power,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,Hardware,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,Storage,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,MRO,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,Pro,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,Consumer,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2017-12-06,slides/2017-12-06__hd-us-20171206-slide__437776.md,category,DIY,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2018-05-17,slides/2018-05-17__hd-us-20180517-slide__437774.md,category,Lumber,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2018-05-17,slides/2018-05-17__hd-us-20180517-slide__437774.md,category,Roofing,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2018-05-17,slides/2018-05-17__hd-us-20180517-slide__437774.md,category,Insulation,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2018-05-17,slides/2018-05-17__hd-us-20180517-slide__437774.md,category,Paint,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2018-05-17,slides/2018-05-17__hd-us-20180517-slide__437774.md,category,Plumbing,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2018-05-17,slides/2018-05-17__hd-us-20180517-slide__437774.md,category,Bath,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2018-05-17,slides/2018-05-17__hd-us-20180517-slide__437774.md,category,Flooring,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2018-05-17,slides/2018-05-17__hd-us-20180517-slide__437774.md,category,Power,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2018-05-17,slides/2018-05-17__hd-us-20180517-slide__437774.md,category,Hardware,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2018-05-17,slides/2018-05-17__hd-us-20180517-slide__437774.md,category,Storage,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2018-05-17,slides/2018-05-17__hd-us-20180517-slide__437774.md,category,Pro,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2018-05-17,slides/2018-05-17__hd-us-20180517-slide__437774.md,category,Consumer,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-05-23,slides/2019-05-23__hd-us-20190523-slide__437772.md,category,Lumber,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-05-23,slides/2019-05-23__hd-us-20190523-slide__437772.md,category,Paint,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-05-23,slides/2019-05-23__hd-us-20190523-slide__437772.md,category,Appliances,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-05-23,slides/2019-05-23__hd-us-20190523-slide__437772.md,category,Landscape,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-05-23,slides/2019-05-23__hd-us-20190523-slide__437772.md,category,Power,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-05-23,slides/2019-05-23__hd-us-20190523-slide__437772.md,category,Hardware,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-05-23,slides/2019-05-23__hd-us-20190523-slide__437772.md,category,Storage,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-05-23,slides/2019-05-23__hd-us-20190523-slide__437772.md,category,MRO,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-05-23,slides/2019-05-23__hd-us-20190523-slide__437772.md,category,Pro,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-05-23,slides/2019-05-23__hd-us-20190523-slide__437772.md,category,Consumer,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-05-23,slides/2019-05-23__hd-us-20190523-slide__437772.md,category,DIY,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-12-11,slides/2019-12-11__hd-us-20191211-slide__437771.md,category,Lumber,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-12-11,slides/2019-12-11__hd-us-20191211-slide__437771.md,category,Paint,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-12-11,slides/2019-12-11__hd-us-20191211-slide__437771.md,category,Power,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-12-11,slides/2019-12-11__hd-us-20191211-slide__437771.md,category,Hardware,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-12-11,slides/2019-12-11__hd-us-20191211-slide__437771.md,category,Storage,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-12-11,slides/2019-12-11__hd-us-20191211-slide__437771.md,category,MRO,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-12-11,slides/2019-12-11__hd-us-20191211-slide__437771.md,category,Pro,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-12-11,slides/2019-12-11__hd-us-20191211-slide__437771.md,category,Consumer,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2019-12-11,slides/2019-12-11__hd-us-20191211-slide__437771.md,category,DIY,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2020-05-21,slides/2020-05-21__hd-us-20200521-slide__437769.md,category,Power,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2020-05-21,slides/2020-05-21__hd-us-20200521-slide__437769.md,category,Hardware,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2020-05-21,slides/2020-05-21__hd-us-20200521-slide__437769.md,category,Pro,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2020-05-21,slides/2020-05-21__hd-us-20200521-slide__437769.md,category,Consumer,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2021-05-20,slides/2021-05-20__hd-us-20210520-slide__38087.md,category,Lumber,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2021-05-20,slides/2021-05-20__hd-us-20210520-slide__38087.md,category,Roofing,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2021-05-20,slides/2021-05-20__hd-us-20210520-slide__38087.md,category,Drywall,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2021-05-20,slides/2021-05-20__hd-us-20210520-slide__38087.md,category,MRO,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2021-05-20,slides/2021-05-20__hd-us-20210520-slide__38087.md,category,Consumer,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2021-09-09,slides/2021-09-09__hd-us-20210909-slide__38047.md,category,Lumber,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2021-09-09,slides/2021-09-09__hd-us-20210909-slide__38047.md,category,Insulation,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2021-09-09,slides/2021-09-09__hd-us-20210909-slide__38047.md,category,Paint,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2021-09-09,slides/2021-09-09__hd-us-20210909-slide__38047.md,category,Electrical,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2021-09-09,slides/2021-09-09__hd-us-20210909-slide__38047.md,category,Flooring,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2021-09-09,slides/2021-09-09__hd-us-20210909-slide__38047.md,category,Landscape,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2021-09-09,slides/2021-09-09__hd-us-20210909-slide__38047.md,category,HVAC,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2021-09-09,slides/2021-09-09__hd-us-20210909-slide__38047.md,category,Hardware,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2021-09-09,slides/2021-09-09__hd-us-20210909-slide__38047.md,category,Storage,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2021-09-09,slides/2021-09-09__hd-us-20210909-slide__38047.md,category,DIY,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2022-08-16,slides/2022-08-16__hd-us-20220816-slide__38059.md,category,Paint,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2022-08-16,slides/2022-08-16__hd-us-20220816-slide__38059.md,category,Storage,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2022-08-16,slides/2022-08-16__hd-us-20220816-slide__38059.md,category,Pro,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2022-08-16,slides/2022-08-16__hd-us-20220816-slide__38059.md,category,DIY,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2023-06-13,slides/2023-06-13__hd-us-20230613-slide__38044.md,category,Lumber,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2023-06-13,slides/2023-06-13__hd-us-20230613-slide__38044.md,category,Roofing,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2023-06-13,slides/2023-06-13__hd-us-20230613-slide__38044.md,category,Drywall,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2023-06-13,slides/2023-06-13__hd-us-20230613-slide__38044.md,category,Insulation,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2023-06-13,slides/2023-06-13__hd-us-20230613-slide__38044.md,category,Siding,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2023-06-13,slides/2023-06-13__hd-us-20230613-slide__38044.md,category,Paint,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2023-06-13,slides/2023-06-13__hd-us-20230613-slide__38044.md,category,Plumbing,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2023-06-13,slides/2023-06-13__hd-us-20230613-slide__38044.md,category,Electrical,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2023-06-13,slides/2023-06-13__hd-us-20230613-slide__38044.md,category,Appliances,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2023-06-13,slides/2023-06-13__hd-us-20230613-slide__38044.md,category,Bath,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2023-06-13,slides/2023-06-13__hd-us-20230613-slide__38044.md,category,Flooring,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2023-06-13,slides/2023-06-13__hd-us-20230613-slide__38044.md,category,Landscape,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2023-06-13,slides/2023-06-13__hd-us-20230613-slide__38044.md,category,HVAC,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2023-06-13,slides/2023-06-13__hd-us-20230613-slide__38044.md,category,Power,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2023-06-13,slides/2023-06-13__hd-us-20230613-slide__38044.md,category,Hardware,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2023-06-13,slides/2023-06-13__hd-us-20230613-slide__38044.md,category,Storage,,Category or customer type mentioned in slide deck.,
Home Depot,HD,2023-06-13,slides/2023-06-13__hd-us-20230613-slide__38044.md,category,MRO,,Category or customer type mentioned in slide deck.,
