company,ticker,fiscal_period,as_of_call,n_history,n_baseline,qa_neg,qa_neg_ord,qa_neg_z,qa_neg_change,qa_neg_change_ord,uncertainty,uncertainty_ord,guidance_language,guidance_language_ord
Analog Devices,ADI,FY2020Q3,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2020Q4,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2021Q1,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2021Q2,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2021Q3,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2021Q4,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2022Q1,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2022Q2,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2022Q3,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2022Q4,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2023Q1,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2023Q2,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2023Q3,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2023Q4,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2024Q1,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2024Q2,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2024Q3,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2024Q4,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2025Q1,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2025Q2,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2025Q3,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2025Q4,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2026Q1,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
Analog Devices,ADI,FY2026Q2,2026-05-20,48,8,typical,1,0.6,stable,1,normal,1,neutral,1
