fiscal_period,fiscal_year,fiscal_quarter,period_end,cost_of_sales,dividend_per_share,eps,eps_adjusted,eps_adjusted_diluted,eps_basic,eps_diluted,free_cash_flow,gross_margin,gross_margin_adjusted,gross_margin_adjusted_margin,gross_margin_gaap,gross_margin_margin,net_income,net_income_basic,net_income_diluted,net_income_growth,net_income_pct_of_revenue,operating_cash_flow,operating_cash_flow_adjusted,operating_margin_adjusted_rate,operating_margin_rate,operating_profit,operating_profit_adjusted,operating_profit_gaap,operating_profit_margin,operating_profit_pct_of_revenue,profit_before_tax,profit_before_tax_adjusted,rd_expense,revenue,revenue_adjusted,revenue_growth,share_count_basic,share_count_diluted
FY2014Q1,2014,1,2014-02-01,219.12,0.34,,,,0.49,0.48,,409.118,,,,65.1,152.586,,,-24.73,24.3,157.473,,,,179.609,,,28.6,28.6,175891.0,,128591.0,628.238,,,312286.0,312286.0
FY2014Q2,2014,2,2014-05-03,235.793,0.37,,,,0.6,0.59,,458.743,458.743,,458.743,66.1,187.433,,,,27.0,238.358,,,,220400.0,220.4,220.4,,31.7,217368.0,,136203.0,694.536,,,313488.0,313488.0
FY2014Q3,2014,3,2014-08-02,251462.0,0.37,,,,0.57,0.57,,476290.0,,,,,205992.0,,,,24.8,,,,,202546.0,,,,27.8,197388.0,,140095.0,727752.0,,,314190.0,314190.0
FY2014Q4,2014,4,2014-11-01,328.21,0.37,,,,0.35,0.34,,486.037,,,,59.7,108.695,,,138.166,,262.263,,,,149.929,,,18.4,,,,,814.247,,,,
FY2015Q1,2015,1,2015-01-31,268.379,0.37,,,,0.57,0.57,,503.607,506.693,,503.607,65.2,178.757,,,-83.18,23.2,168.653,,,,207.934,242.373,207.934,26.9,26.9,200770.0,,151706.0,771.986,,,311274.0,311274.0
FY2015Q2,2015,2,2015-05-02,276.197,0.4,,,,0.66,0.65,,544.822,546.342,,544.822,66.4,205.338,,,,25.0,344.031,,,,249.008,276.783,249.008,30.3,30.3,245189.0,,154233.0,821.019,,,312660.0,312660.0
FY2015Q3,2015,3,2015-08-01,294.328,0.4,0.77,,,0.69,0.68,,569.037,,,,65.9,216.478,,,,25.1,197.139,,,,295.205,,,30.7,30.7,259478.0,,160784.0,863.365,,,313877.0,313877.0
FY2015Q4,2015,4,2015-10-31,336.926,0.4,,,,0.31,0.3,,641.796,,,,65.6,96.305,,,,,197.975,,,,108.63,,,11.1,,,,,978.722,,,,
FY2016Q1,2016,1,2016-01-30,292.136,0.4,0.52,,,0.53,0.52,,477.293,,,,62.0,164.504,,,-7.295,21.4,219.705,,,,213.947,,,25.3,25.3,182177.0,,157428.0,769.429,,,311166.0,311166.0
FY2016Q2,2016,2,2016-04-30,267.863,0.42,0.55,,,0.55,0.55,,510.903,,,,65.6,58695.0,0.16,0.16,,21.9,320.203,,,,240.056,,,26.6,26.6,194910.0,,160235.0,778.766,,1.0,308790.0,308790.0
