fiscal_period,fiscal_year,fiscal_quarter,period_end,cost_of_sales,dividend_per_share,eps,eps_adjusted_diluted,eps_basic,eps_diluted,eps_gaap_diluted,free_cash_flow,free_cash_flow_adjusted,gross_margin,gross_margin_adjusted,gross_margin_adjusted_margin,gross_margin_gaap,gross_margin_margin,inventories,inventories_growth,net_income,net_income_basic,net_income_diluted,net_income_growth,net_income_pct_of_revenue,operating_cash_flow,operating_cash_flow_adjusted,operating_cash_flow_growth,operating_cash_flow_pct_of_revenue,operating_margin_adjusted_rate,operating_margin_rate,operating_profit,operating_profit_adjusted,operating_profit_gaap,operating_profit_margin,profit_before_tax,profit_before_tax_adjusted,rd_expense,revenue,revenue_adjusted,revenue_gaap,revenue_growth,share_count_basic,share_count_diluted,total_assets
FY2011,2011,,2011-10-28,,0.94,,,,,,,,,,,,,,,867394.0,2.9,2.81,,,,,,,,,,,,,,,,2993320.0,,,,,,5277635.0
FY2012,2012,,2012-10-28,,1.15,,,,,,,,,,,3168.0,,,,651236.0,2.18,2.13,,,,,,,,,,,,,,,,5246.0,,,,,,5617299.0
FY2013,2013,,2013-10-28,941278.0,1.32,,,2.19,2.14,,789.271,,1692411.0,,,1692.0,,,28527.0,641217.0,2.19,2.14,,,912.345,,912345.0,,,,753075.0,,,,815323.0,,513035.0,2907504.0,,,,307763.0,307763.0,6376433.0
FY2014,2014,,2014-10-28,1034.585,1.45,,,2.01,1.98,,,,1830.188,,,1830.0,63.9,367927.0,24642.0,629320.0,2.01,1.98,,,871.602,,871602.0,,,26.3,752.484,,,26.3,729345.0,,559686.0,2864.773,,,,313195.0,313195.0,6855331.0
FY2015,2015,,2015-10-28,1175.83,1.57,,,2.23,2.2,,,977.51,2259.262,,,2259.0,65.8,412314.0,-35557.0,696878.0,2.23,2.2,,,907798.0,,907798.0,26.4,,34.0,20727.0,,,24.2,810114.0,,637459.0,3435.092,28.5,,,312660.0,312660.0,7058.777
FY2016,2016,,2016-10-28,1194.236,1.66,3.07,,2.79,2.76,,,1153.498,2227.173,2234.022,,2227.0,65.1,376555.0,38221.0,359037.0,2.79,2.76,,,1280895.0,,1280895.0,37.4,,,1028.112,1132.719,,30.0,956921.0,,653816.0,3421.409,3421.409,,,308736.0,308736.0,7970278.0
FY2017,2017,,2017-10-28,2045.907,1.77,4.72,,346371.0,350484.0,,,,3061.596,3608.295,,,59.9,550816.0,-47354.0,727259.0,2.09,2.07,,,1112592.0,,1112592.0,21.8,,,1055.134,2049.756,,20.7,828485.0,,-363.0,5107.503,5192.837,,49.3,346371.0,346371.0,21118283.0
FY2018,2018,,2018-10-28,1967.64,1.89,,5.94,370430.0,374938.0,3.97,2187.485,,4233.302,4431.299,,4233.302,68.3,586760.0,-34636.0,1506.98,4.02,3.97,678.96,39.2,2442361.0,,2442361.0,39.2,,,1881.735,2626.687,1881.735,30.3,1638517.0,,-363.0,6200.942,,6200.942,21.4,370430.0,370430.0,20438366.0
FY2019,2019,,2019-02-02,1912.578,2.1,,5.15,368633.0,371973.0,3.65,1977.728,,3690.478,4189.016,,4013.75,67.0,609886.0,-42771.0,1363.011,3.68,3.65,-35.283,37.6,2425.0,,2253100.0,37.6,,,1498.244,2433.044,1710.608,,1485728.0,,75305.0,5991.065,,,,369133.0,369133.0,21392641.0
FY2020,2020,,2020-08-01,1912.578,2.4,,4.91,368633.0,3.28,,1806.914,,3690.0,3869.852,69.1,3690.0,65.9,608260.0,1760.0,1220761.0,3.31,3.28,-104.185,35.8,1993.794,,2008487.0,35.8,39.9,26.7,1498.0,2234.314,,,1311617.0,,73366.0,5519.98,,,,368633.0,368633.0,21468603.0
FY2021,2021,,2021-05-01,2793.274,,,6.46,397462.0,3.46,,543.7,,4525.0,5186.45,70.9,4525.0,61.8,1200610.0,-65114.0,1578274.0,2.94,2.91,-86.366,37.0,630.041,,2735069.0,37.0,42.4,23.1,1692.0,3103.745,,,1328714.0,,86820.0,1758.853,,,,397462.0,397462.0,
FY2022,2022,,2022-01-29,4481.479,,,9.57,519226.0,5.25,,745.28,,7532.0,8842.161,73.6,7532.0,62.7,1399914.0,-470725.0,2748.561,,,-883.665,37.0,856.413,,4475402.0,37.0,49.4,27.3,3279.0,5939.179,,,3098749.0,5750.065,121298.0,2684.293,,,,519226.0,519226.0,
FY2023,2023,,2023-01-28,4428.321,,,10.09,502232.0,6.55,,710.901,,7877.0,8924.527,72.5,,64.0,1642214.0,-242299.0,3314579.0,,,-645.59,39.0,1142.454,,4817634.0,39.0,48.9,31.1,3823.0,6014.423,,,3608003.0,5785.571,116354.0,2716.484,,,,502232.0,502232.0,
FY2024,2024,,2024-02-03,4045.814,,,6.38,496166.0,3.28,,619.664,,5381.0,6403.831,67.9,,57.1,1447687.0,191170.0,1635273.0,,,194.743,41.0,807.853,,3852529.0,41.0,40.9,21.6,2033.0,3852.869,,,1777340.0,3588.811,109011.0,2159.039,,,,496166.0,496166.0,
FY2025,2025,,2025-02-01,4246.229,,,7.79,494381.0,4.56,,729.21,1486.0,6773.0,7641.091,69.3,,61.5,1656323.0,-208636.0,2267342.0,,,481.009,44.0,819.478,1701.0,4812202.0,44.0,41.9,26.6,2932.0,4622.147,,,2712112.0,4393.163,134245.0,2423.174,48.0,,,494381.0,494381.0,
FY2026,2026,,2026-01-31,,,,,,,,4560.021,,,,,,,,,,,,,,5053.908,,,,,,,,,,,,,11756.796,,,,,,
