company,ticker,fiscal_period,fiscal_year,fiscal_quarter,period_months,period_end,category,net_sales,operating_profit,operating_margin_pct,unit,sources,sales_mix_pct
Deere & Company,DE,FY2013,2013,,12,2013-10-28,agriculture and turf,29132.0,,,USDm,2015-11-25__de-us-20151125-q4-10k__469104.md:4654,83.24
Deere & Company,DE,FY2013,2013,,12,2013-10-28,construction and forestry,5866.0,,,USDm,2015-11-25__de-us-20151125-q4-10k__469104.md:4655,16.76
Deere & Company,DE,FY2014,2014,,12,2014-10-28,agriculture and turf,26380.0,,,USDm,2015-11-25__de-us-20151125-q4-10k__469104.md:4654,80.03
Deere & Company,DE,FY2014,2014,,12,2014-10-28,construction and forestry,6581.0,,,USDm,2015-11-25__de-us-20151125-q4-10k__469104.md:4655,19.97
Deere & Company,DE,FY2015,2015,,12,2015-10-28,agriculture and turf,19812.0,,,USDm,2015-11-25__de-us-20151125-q4-10k__469104.md:4654,76.87
Deere & Company,DE,FY2015,2015,,12,2015-10-28,construction and forestry,5963.0,,,USDm,2015-11-25__de-us-20151125-q4-10k__469104.md:4655,23.13
Deere & Company,DE,FY2016Q1,2016,1,3,2016-01-31,agriculture and turf,,144.0,,,2017-02-17__de-us-20170217-q1-10q__469116.md:508,
Deere & Company,DE,FY2016Q1,2016,1,3,2016-01-31,construction and forestry,,70.0,,,2017-02-17__de-us-20170217-q1-10q__469116.md:509,
Deere & Company,DE,FY2016Q2,2016,2,3,2016-05-01,agriculture and turf,,614.0,,,2017-05-19__de-us-20170519-q2-10q__469480.md:890,
Deere & Company,DE,FY2016Q2,2016,2,3,2016-05-01,construction and forestry,,74.0,,,2017-05-19__de-us-20170519-q2-10q__469480.md:891,
Deere & Company,DE,FY2016,2016,,12,2016-10-28,agriculture and turf,18487.0,,,USDm,2016-11-23__de-us-20161123-q4-10k__469184.md:5348,79.05
Deere & Company,DE,FY2016,2016,,6,2016-05-01,agriculture and turf,,759.0,,,2017-05-19__de-us-20170519-q2-10q__469480.md:890,
Deere & Company,DE,FY2016,2016,,12,2016-10-28,construction and forestry,4900.0,,,USDm,2016-11-23__de-us-20161123-q4-10k__469184.md:5349,20.95
Deere & Company,DE,FY2016,2016,,6,2016-05-01,construction and forestry,,143.0,,,2017-05-19__de-us-20170519-q2-10q__469480.md:891,
Deere & Company,DE,FY2017Q1,2017,1,3,2017-01-29,agriculture and turf,,213.0,,,2017-02-17__de-us-20170217-q1-10q__469116.md:508; 2018-02-16__de-us-20180216-q1-10q__469205.md:864,
Deere & Company,DE,FY2017Q1,2017,1,3,2017-01-29,construction and forestry,,34.0,,,2017-02-17__de-us-20170217-q1-10q__469116.md:509; 2018-02-16__de-us-20180216-q1-10q__469205.md:865,
Deere & Company,DE,FY2017Q2,2017,2,3,2017-04-30,agriculture and turf,,1003.0,,,2017-05-19__de-us-20170519-q2-10q__469480.md:890; 2018-05-18__de-us-20180518-q2-10q__468389.md:908,
Deere & Company,DE,FY2017Q2,2017,2,3,2017-04-30,construction and forestry,,108.0,,,2017-05-19__de-us-20170519-q2-10q__469480.md:891; 2018-05-18__de-us-20180518-q2-10q__468389.md:909,
Deere & Company,DE,FY2017,2017,,6,2017-04-30,agriculture and turf,,1215.0,,,2017-05-19__de-us-20170519-q2-10q__469480.md:890; 2018-05-18__de-us-20180518-q2-10q__468389.md:908,
Deere & Company,DE,FY2017,2017,,12,2017-10-28,agriculture and turf,20167.0,,,USDm,2017-11-22__de-us-20171122-q4-10k__468364.md:5707,77.91
Deere & Company,DE,FY2017,2017,,6,2017-04-30,construction and forestry,,143.0,,,2017-05-19__de-us-20170519-q2-10q__469480.md:891; 2018-05-18__de-us-20180518-q2-10q__468389.md:909,
Deere & Company,DE,FY2017,2017,,12,2017-10-28,construction and forestry,5718.0,,,USDm,2017-11-22__de-us-20171122-q4-10k__468364.md:5708,22.09
Deere & Company,DE,FY2018Q1,2018,1,3,2018-01-28,agriculture and turf,,387.0,,,2018-02-16__de-us-20180216-q1-10q__469205.md:864,
Deere & Company,DE,FY2018Q1,2018,1,3,2018-01-28,construction and forestry,,32.0,,,2018-02-16__de-us-20180216-q1-10q__469205.md:865,
Deere & Company,DE,FY2018Q2,2018,2,3,2018-04-29,agriculture and turf,,1056.0,,,2018-05-18__de-us-20180518-q2-10q__468389.md:908,
Deere & Company,DE,FY2018Q2,2018,2,3,2018-04-29,construction and forestry,,259.0,,,2018-05-18__de-us-20180518-q2-10q__468389.md:909,
Deere & Company,DE,FY2018Q4,2018,4,3,2018-10-28,agriculture and turf,,567.0,,,2019-11-27__de-us-20191127-q4-8k__469218.md:208,
Deere & Company,DE,FY2018Q4,2018,4,3,2018-10-28,construction and forestry,,295.0,,,2019-11-27__de-us-20191127-q4-8k__469218.md:209,
Deere & Company,DE,FY2018,2018,,12,2018-10-28,Construction & Forestry,,,1.8,,2019-02-15__de-us-20190215-q1-8k__654630.md:93,
Deere & Company,DE,FY2018,2018,,6,2018-04-29,agriculture and turf,,1443.0,,,2018-05-18__de-us-20180518-q2-10q__468389.md:908,
Deere & Company,DE,FY2018,2018,,12,2018-10-28,agriculture and turf,23191.0,2816.0,,USDm,2018-11-21__de-us-20181121-q4-10k__469201.md:5766; 2019-11-27__de-us-20191127-q4-8k__469218.md:208,69.54
Deere & Company,DE,FY2018,2018,,6,2018-04-29,construction and forestry,,291.0,,,2018-05-18__de-us-20180518-q2-10q__468389.md:909,
Deere & Company,DE,FY2018,2018,,12,2018-10-28,construction and forestry,10160.0,868.0,,USDm,2018-11-21__de-us-20181121-q4-10k__469201.md:5767; 2019-11-27__de-us-20191127-q4-8k__469218.md:209,30.46
Deere & Company,DE,FY2019Q1,2019,1,3,2019-01-27,agriculture and turf,,348.0,,,2019-02-15__de-us-20190215-q1-10q__469204.md:1277,
Deere & Company,DE,FY2019Q1,2019,1,3,2019-01-27,construction and forestry,,229.0,,,2019-02-15__de-us-20190215-q1-10q__469204.md:1278,
Deere & Company,DE,FY2019Q2,2019,2,3,2019-04-28,agriculture and turf,,1019.0,,,2019-05-17__de-us-20190517-q2-10q__469675.md:1502,
Deere & Company,DE,FY2019Q2,2019,2,3,2019-04-28,construction and forestry,,347.0,,,2019-05-17__de-us-20190517-q2-10q__469675.md:1503,
Deere & Company,DE,FY2019Q3,2019,3,3,2019-07-28,agriculture and turf,,612.0,,,2020-08-20__de-us-20200820-q3-10q__105822.md:1404,
Deere & Company,DE,FY2019Q3,2019,3,3,2019-07-28,construction and forestry,,378.0,,,2020-08-20__de-us-20200820-q3-10q__105822.md:1405,
Deere & Company,DE,FY2019Q4,2019,4,3,2019-11-03,agriculture and turf,,527.0,,,2019-11-27__de-us-20191127-q4-8k__469218.md:208,
Deere & Company,DE,FY2019Q4,2019,4,3,2019-11-03,construction and forestry,,261.0,,,2019-11-27__de-us-20191127-q4-8k__469218.md:209,
Deere & Company,DE,FY2019,2019,,6,2019-04-28,agriculture and turf,,1367.0,,,2019-05-17__de-us-20190517-q2-10q__469675.md:1502,
Deere & Company,DE,FY2019,2019,,12,2019-10-28,agriculture and turf,23666.0,2506.0,,USDm,2019-11-27__de-us-20191127-q4-10k__469283.md:9526; 2019-11-27__de-us-20191127-q4-8k__469218.md:208,33.92
Deere & Company,DE,FY2019,2019,,9,2019-07-28,agriculture and turf,,1978.0,,,2020-08-20__de-us-20200820-q3-10q__105822.md:1404,
Deere & Company,DE,FY2019,2019,,12,2019-10-28,construction & forestry,11220.0,,,USDm,2021-11-24__de-us-20211124-q4-10k__131650.md:11259,16.08
Deere & Company,DE,FY2019,2019,,6,2019-04-28,construction and forestry,,576.0,,,2019-05-17__de-us-20190517-q2-10q__469675.md:1503,
Deere & Company,DE,FY2019,2019,,12,2019-10-28,construction and forestry,11220.0,1215.0,,USDm,2019-11-27__de-us-20191127-q4-10k__469283.md:9527; 2019-11-27__de-us-20191127-q4-8k__469218.md:209,16.08
Deere & Company,DE,FY2019,2019,,9,2019-07-28,construction and forestry,,954.0,,,2020-08-20__de-us-20200820-q3-10q__105822.md:1405,
Deere & Company,DE,FY2019,2019,,12,2019-10-28,production & precision ag,13364.0,,,USDm,2021-11-24__de-us-20211124-q4-10k__131650.md:11257,19.15
Deere & Company,DE,FY2019,2019,,12,2019-10-28,small ag & turf,10302.0,,,USDm,2021-11-24__de-us-20211124-q4-10k__131650.md:11258,14.77
Deere & Company,DE,FY2020Q1,2020,1,3,2020-02-02,agriculture and turf,,373.0,,,2020-02-21__de-us-20200221-q1-10q__468373.md:1186,
Deere & Company,DE,FY2020Q1,2020,1,3,2020-02-02,construction &forestry,67.0,93.0,,USDm,2021-02-19__de-us-20210219-q1-10q__105814.md:936; 2021-02-19__de-us-20210219-q1-10q__105814.md:946,100.0
Deere & Company,DE,FY2020Q1,2020,1,3,2020-02-02,construction and forestry,,93.0,,,2020-02-21__de-us-20200221-q1-10q__468373.md:1187,
Deere & Company,DE,FY2020Q1,2020,1,3,2020-02-02,production &precision ag,,218.0,,,2021-02-19__de-us-20210219-q1-10q__105814.md:934,
Deere & Company,DE,FY2020Q1,2020,1,3,2020-02-02,small ag &turf,,155.0,,,2021-02-19__de-us-20210219-q1-10q__105814.md:935,
Deere & Company,DE,FY2020Q2,2020,2,3,2020-05-03,agriculture and turf,,794.0,,,2020-05-21__de-us-20200521-q2-10q__469470.md:1452,
Deere & Company,DE,FY2020Q2,2020,2,3,2020-05-03,construction &forestry,2256.0,96.0,,USDm,2021-05-21__de-us-20210521-q2-10q__105821.md:1214; 2021-05-21__de-us-20210521-q2-10q__105821.md:1221; 2021-05-21__de-us-20210521-q2-10q__105821.md:1231,27.43
Deere & Company,DE,FY2020Q2,2020,2,3,2020-05-03,construction and forestry,,96.0,,,2020-05-21__de-us-20200521-q2-10q__469470.md:1453,
Deere & Company,DE,FY2020Q2,2020,2,3,2020-05-03,production &precision ag,3365.0,568.0,,USDm,2021-05-21__de-us-20210521-q2-10q__105821.md:1212; 2021-05-21__de-us-20210521-q2-10q__105821.md:1219,40.92
