fiscal_period,fiscal_year,fiscal_quarter,period_end,cost_of_sales,cost_of_sales_growth,dividend_per_share,eps,eps_basic,eps_diluted,inventories,inventories_growth,net_income,net_income_growth,operating_cash_flow,operating_margin_rate,operating_profit,profit_before_tax,rd_expense,revenue,revenue_growth,share_count,share_count_basic,share_count_diluted,total_assets
FY2014Q4,2014,4,2014-10-28,5195.5,,151.6,,2.05,2.03,,,681.3,,,,,,323.7,7398.5,,,371.9,375.4,
FY2015Q1,2015,1,,,,209.9,,,,,508.1,0.4,,,,,,,,,,,,
FY2015Q4,2015,4,2015-10-28,4420.6,,-209.9,,1.13,1.12,,-603.9,386.9,,,,,,333.2,5605.1,,,343.1,345.7,
FY2016Q1,2016,1,2016-01-31,,,0.6,,,,,,254.4,,,,408.0,,,5525.0,,316.4,,,57918.0
FY2016Q2,2016,2,2016-05-01,,,0.6,,,,,,495.4,,,,848.0,,,7875.0,,315.1,,,
FY2016Q3,2016,3,2016-07-31,,,0.6,,,,,,488.8,,,,,,,,,314.3,,,
FY2016Q4,2016,4,2016-10-28,3840.1,,-193.1,,0.8,0.8,,-565.3,253.8,,,,,,319.3,4769.2,,,314.3,315.7,
FY2017Q1,2017,1,2017-01-29,,,0.6,,,,,,193.8,,,,416.0,,,5625.0,,316.7,,,56297.0
FY2017Q2,2017,2,2017-04-30,,,0.6,,,,,,802.4,,,,1271.0,,,8287.0,,319.2,,,
FY2017Q3,2017,3,2017-07-30,,,0.6,,,,,,641.8,,,,,,,8810.0,,320.8,,,
FY2017Q4,2017,4,2017-10-28,3781.5,,,,0.63,0.62,,,802.2,,,,,,312.1,4697.8,,,316.7,319.7,
FY2018Q1,2018,1,2018-01-28,,-48.0,0.6,,,-1.66,,-1099.7,425.3,,,1.8,32.0,,357.0,1731.0,,322.8,,,66577.0
FY2018Q2,2018,2,2018-04-29,,36.0,0.6,,,3.67,,,104.0,,,9.6,259.0,,415.0,2698.0,,324.2,,,
FY2018Q3,2018,3,2018-07-29,,-10.0,0.6,,,2.78,,,151.0,,,9.4,196.0,,416.0,2993.0,,323.5,,,
FY2018Q4,2018,4,2018-10-28,6381.0,,0.69,,2.45,2.42,,,911.0,,,,1063.0,,470.0,9416.0,,,320.3,324.7,
FY2019Q1,2019,1,2019-01-27,,-5.0,0.69,,,1.54,,-1289.7,153.9,,,7.4,229.0,,407.0,2260.0,,318.5,,,69918.0
FY2019Q2,2019,2,2019-04-28,,12.0,0.76,,,3.52,,,121.0,,,11.6,347.0,,457.0,2991.0,,317.9,,,
FY2019Q3,2019,3,2019-07-28,6871.0,-8.0,0.76,,,2.81,,,175.0,,,10.3,204.0,,431.0,3023.0,,315.9,,,
FY2019Q4,2019,4,2019-10-28,5432.0,,0.76,,2.3,2.27,,-1396.0,500.0,,,,916.0,,407.0,6941.0,,,313.9,317.9,
FY2020Q1,2020,1,2020-02-02,9.0,11.0,0.76,,1.56,1.54,,,500.0,,30.0,4.5,93.0,,3.0,6530.0,,313.5,313.5,317.2,71821.0
FY2020Q2,2020,2,2020-05-03,,81.0,0.76,,,2.11,,,606.0,,,4.3,96.0,,406.0,2256.0,,313.2,,,
FY2020Q3,2020,3,2020-08-02,5836.0,-28.0,0.76,,,2.57,,,628.0,,,9.4,205.0,,370.0,2187.0,,313.0,,,
