fiscal_period,fiscal_year,fiscal_quarter,period_end,cost_of_sales,cost_of_sales_growth,dividend_per_share,dividend_per_share_diluted,eps,eps_basic,eps_diluted,inventories,inventories_growth,net_income,net_income_basic,net_income_diluted,operating_cash_flow,operating_cash_flow_growth,operating_margin_rate,operating_profit,rd_expense,revenue,revenue_growth,share_count,share_count_basic,share_count_diluted,total_assets
FY2006,2006,,2006-10-28,,,0.78,,,,,1957.0,,1694.0,3.63,,,,,,726.0,19884.0,,,,,34720.0
FY2007,2007,,2007-10-28,,,0.91,,,,,2337.0,,1822.0,4.05,,,,,,817.0,21489.0,,,,,38576.0
FY2008,2008,,2008-10-28,,,1.06,,,,,3042.0,,2053.0,4.76,,,,,,943.0,25803.0,,,,,38696.0
FY2009,2009,,2009-10-28,,,1.12,,,,,2397.0,,873.0,2.07,,,,,,965.0,20756.0,,,,,41023.0
FY2010,2010,,2010-10-28,,,1.16,,,,,3063.0,,1865.0,4.4,,,,,,1005.0,23573.0,,,,,43186.0
FY2011,2011,,2011-10-28,,,1.52,,,,,4371.0,,19924.0,6.71,6.63,,,,,1192.0,29466.0,,,,,48146.0
FY2012,2012,,2012-10-28,,,1.79,7.63,,,,5170.0,,22159.0,7.72,7.63,,,,,1409.0,33501.0,,,,,56193.0
FY2013,2013,,2013-10-28,25667.3,35.0,1.99,,4123.0,9.18,9.09,4935.0,-728.4,10.0,9.18,9.09,102.0,3254.3,,,1445.0,34997.9,,385.3,385.3,389.2,2101.0
FY2014,2014,,2014-10-28,6097.1,25.0,2.22,,4313.0,4.5,4.46,4209.7,496.2,353.0,8.71,8.63,62.3,543.4,,921.0,1437.0,16194.8,,363.0,352.3,354.8,61336.4
FY2015,2015,,2015-10-28,4420.6,97.0,2.4,5.77,3900.0,3.17,3.14,3817.0,-17.0,1662.5,5.81,5.77,15.3,756.8,,3140.0,1410.0,8042.8,,333.6,323.0,324.6,57947.6
FY2016,2016,,2016-10-28,3840.1,-15.0,2.4,4.81,,0.8,0.8,3340.5,106.1,386.9,4.83,4.81,49.7,963.3,,2589.0,1389.0,5605.1,,315.2,314.3,315.7,25373.6
FY2017,2017,,2017-10-28,3781.5,-12.0,2.4,6.68,,0.61,0.61,3904.1,-1305.3,253.8,6.76,,39.8,876.4,,3543.0,1368.0,4769.2,,319.5,317.9,319.7,26395.1
FY2018,2018,,2018-10-28,4704.5,-24.0,2.49,7.24,,2.81,2.78,6148.9,-1772.3,1006.7,7.34,,47.3,911.8,9.1,792.0,1658.0,4697.8,,322.6,320.3,322.8,30738.4
FY2019,2019,,2019-10-28,5431.6,-18.0,2.97,10.15,,5.13,5.07,5975.0,-975.0,500.0,10.28,,77.0,1051.0,7.5,777.0,1783.0,5973.9,,316.5,318.1,322.4,73011.0
FY2020,2020,,2020-10-28,22.0,93.0,3.04,8.69,3.04,3.77,3.73,4999.0,397.0,518.0,8.77,,7483.0,776.0,10.7,1000.0,8.0,14754.0,,313.5,313.3,316.4,75091.0
FY2021,2021,,2021-10-28,13734.0,-101.0,1.66,18.99,1.52,9.62,9.55,6781.0,-926.0,881.0,19.14,,7726.0,1786.0,13.1,1489.0,1587.0,19049.0,,311.6,312.4,314.9,84114.0
FY2022,2022,,2022-10-28,15613.0,-64.0,2.1,23.28,2.1,9.78,9.72,8495.0,-1297.0,880.0,23.42,,4699.0,418.0,19.9,4386.0,1912.0,20565.0,-6.0,304.5,306.8,308.8,90030.0
FY2023,2023,,2023-10-28,7934.0,8.0,5.05,34.63,1.13,6.58,6.55,8160.0,-72.0,4815.0,34.8,,8589.0,2896.0,23.2,1208.0,2177.0,11402.0,-6.0,292.2,297.6,299.1,104087.0
FY2024,2024,,2024-10-28,7200.0,10.0,1.47,25.62,1.35,6.25,6.23,7093.0,-109.0,4116.0,25.73,,9231.0,944.0,14.8,1627.0,2290.0,10486.0,-2.0,276.0,279.9,281.1,107320.0
FY2025,2025,,2025-10-28,5037.0,-5.0,1.62,,1.47,3.2,3.19,7406.0,-795.0,2667.0,18.55,,5.0,568.0,15.4,2671.0,2311.0,6809.0,-6.0,270.9,271.6,272.3,105996.0
FY2026,2026,,2026-10-28,6280.0,,1.62,,1.62,2.43,2.42,,-746.0,2425.0,,,127.0,1042.0,,,554.0,8001.0,,,270.3,270.9,
