fiscal_period,fiscal_year,fiscal_quarter,period_end,conversion_rate_rate,dividend_per_share,eps_basic,eps_diluted,eps_post_exceptional_basic,eps_post_exceptional_diluted,eps_pre_exceptional_basic,eps_pre_exceptional_diluted,net_fees,net_income,operating_cash_flow,operating_profit,operating_profit_pre_exceptional,profit_before_tax,profit_before_tax_pre_exceptional,revenue
FY2018H1,2018,,2017-12-31,,-94.3,5.39,5.33,,,,,525.8,78.0,74.1,116.5,,113.9,,2828.9
FY2018H2,2018,,2018-06-30,,-109.7,11.44,11.3,,,,,1072.8,165.8,243.5,243.4,,238.5,,5753.3
FY2019H1,2019,,2018-12-31,,112.9,5.86,5.79,5.86,5.79,5.86,5.79,568.0,85.2,78.5,124.1,124.1,122.6,,3035.4
FY2019H2,2019,,2019-06-30,,129.1,11.1,10.97,11.1,10.97,11.92,11.77,1129.7,161.7,260.1,233.7,248.8,231.2,,6070.5
FY2019,2019,,,,,,,,,,,,,,-15.1,,,,
FY2020H1,2020,,2019-12-31,,121.6,4.6,4.56,4.6,4.56,4.6,4.56,553.1,67.4,89.3,100.1,100.1,95.6,,3104.7
FY2020H2,2020,,2020-06-30,5.9,121.6,0.75,3.1,3.14,3.1,5.28,5.23,422.8,47.5,64.6,25.1,135.0,21.1,,5929.5
FY2020,2020,,,,,,,,,,,,,,-39.9,,,,
FY2021H1,2021,,2020-12-31,,,0.75,0.75,0.75,0.75,0.75,0.75,422.8,12.6,64.6,25.1,25.1,21.1,,2755.2
FY2021H2,2021,,2021-06-28,18.0,0.95,4.08,3.64,,,,,565.3,61.5,39.3,95.1,,88.1,,5648.4
FY2022H1,2022,,2021-12-31,,170.5,4.08,4.04,,,,,565.3,68.4,63.2,101.6,,97.7,,3067.0
FY2022H2,2022,,2022-06-28,14.9,0.95,4.11,9.11,,,4.11,,651.9,154.2,66.4,97.0,97.0,94.0,94.0,6588.9
FY2023H1,2023,,2022-12-31,,149.9,4.11,4.08,4.11,4.08,4.11,4.08,651.9,66.7,91.0,97.0,97.0,94.0,,3839.8
FY2023H2,2023,,2023-06-28,10.3,0.95,0.77,8.52,8.59,8.52,2.37,8.52,583.3,138.3,67.3,197.0,60.1,27.6,55.5,7583.3
FY2024H1,2024,,2023-12-31,,68.3,0.77,0.77,0.77,0.77,2.37,2.36,583.3,12.3,93.5,32.2,60.1,27.6,,3538.4
FY2024H2,2024,,2024-06-28,5.1,0.95,0.19,-0.31,-0.31,-0.31,0.81,4.0,496.0,,65.5,25.1,25.5,9.1,19.0,6949.1
FY2025H1,2025,,2024-12-31,,32.6,0.19,0.19,0.19,0.19,0.81,0.81,496.0,,92.6,15.6,25.5,9.1,,3365.4
FY2025H2,2025,,2025-06-30,,47.8,-0.49,-0.49,,,1.31,1.31,972.4,,175.8,14.9,45.6,1.5,,6607.0
FY2026H1,2026,,2025-12-31,,4.6,0.02,0.02,,,0.46,0.46,453.3,,66.4,11.3,20.1,4.6,,3252.5
