fiscal_period,fiscal_year,fiscal_quarter,period_end,conversion_rate_rate,dividend_per_share,eps_basic,eps_diluted,eps_post_exceptional_basic,eps_pre_exceptional_basic,net_fees,net_income,operating_cash_flow,operating_profit,operating_profit_post_exceptional,operating_profit_pre_exceptional,profit_before_tax,profit_before_tax_pre_exceptional,revenue,total_assets
FY2014,2014,,2014-06-28,,-35.1,6.13,6.0,,,-46.3,90.9,175.4,140.3,,,5.0,,3678.5,887.1
FY2015,2015,,2015-06-28,,-37.9,7.44,7.31,,,-50.7,105.6,189.7,164.1,,,156.1,,3842.8,950.5
FY2016,2016,,2016-06-28,,-39.9,8.48,8.37,,,-51.9,124.5,159.3,181.0,,,4.6,,4231.4,1044.8
FY2017,2017,,2017-06-28,9.2,1.06,5.39,9.54,,,99.8,139.1,74.1,18.7,,,113.9,,5081.0,1075.1
FY2018,2018,,2018-06-28,10.7,1.11,5.86,11.3,,11.44,101.5,165.8,78.5,19.3,,243.4,122.6,238.5,5753.3,980.4
FY2019,2019,,2019-06-28,8.4,1.11,4.6,10.97,,11.92,1129.7,161.7,65.2,233.7,,248.8,231.2,246.3,6070.5,1502.9
FY2020,2020,,2020-06-28,0.1,0.0,0.75,3.1,,5.28,996.2,47.5,64.6,95.1,,135.0,86.3,126.2,5929.5,1939.9
FY2021,2021,,2021-06-28,4.0,1.22,3.67,3.64,,3.67,918.1,61.5,130.8,95.1,,95.1,88.1,,5648.4,1873.5
FY2022,2022,,2022-06-28,17.7,2.85,9.22,9.11,,,1189.4,154.2,182.9,15.2,97.0,97.0,204.3,,6588.9,2077.4
FY2023,2023,,2023-06-28,15.2,3.0,8.59,8.52,8.59,8.59,1294.6,138.3,199.3,197.0,32.2,197.0,192.1,192.1,7583.3,1904.0
FY2024,2024,,2024-06-28,9.4,3.0,-0.31,-0.31,-0.31,4.03,1113.6,,112.3,25.1,25.1,105.1,14.7,94.7,6949.1,1778.2
FY2025,2025,,2025-06-28,4.7,1.24,-0.49,-0.49,-0.49,1.31,972.4,,128.3,14.9,14.9,45.6,1.5,32.2,6607.0,1769.1
