company,ticker,fiscal_period,fiscal_year,fiscal_quarter,period_months,period_end,category,net_sales,operating_profit,operating_margin_pct,unit,sources,sales_mix_pct
Home Depot,HD,FY2009,2009,,12,2010-01-28,%,,,,,2015-02-24__hd-us-20150224-q4-10k__437577.md:2132,
Home Depot,HD,FY2010,2010,,12,2011-01-28,%,,,,,2015-02-24__hd-us-20150224-q4-10k__437577.md:2132; 2015-03-26__hd-us-20150326-fy-10k__778728.md:2236,
Home Depot,HD,FY2012,2012,,12,2013-01-28,%,,,,,2015-02-24__hd-us-20150224-q4-10k__437577.md:2132,
Home Depot,HD,FY2013,2013,,12,2014-01-28,%,,,,,2015-02-24__hd-us-20150224-q4-10k__437577.md:2132,
Home Depot,HD,FY2014,2014,,12,2015-01-28,%,,,,,2016-02-23__hd-us-20160223-q4-10k__437576.md:2240,
Home Depot,HD,FY2015,2015,,12,2016-01-28,%,,,,,2017-02-21__hd-us-20170221-q4-10k__437574.md:2226,
Home Depot,HD,FY2015,2015,,12,2016-01-28,dollars in millions,,14.4,,,2019-03-28__hd-us-20190328-fy-10k__778686.md:802; 2019-03-28__hd-us-20190328-fy-10k__778686.md:808,
Home Depot,HD,FY2016,2016,,12,2017-04-30,dollars in millions,108203.0,13699.0,,USDm,2018-05-15__hd-us-20180515-q1-10q__437628.md:666; 2018-05-15__hd-us-20180515-q1-10q__437628.md:669; 2018-08-14__hd-us-20180814-q2-10q__437634.md:744,100.0
Home Depot,HD,FY2017Q1,2017,1,3,2017-04-30,%,,,,,2018-05-15__hd-us-20180515-q1-10q__437628.md:611,
Home Depot,HD,FY2017Q1,2017,1,3,2017-04-30,dollars in millions,23887.0,3349.0,,USDm,2018-05-15__hd-us-20180515-q1-10q__437628.md:589; 2018-05-15__hd-us-20180515-q1-10q__437628.md:590; 2018-05-15__hd-us-20180515-q1-10q__437628.md:595,100.0
Home Depot,HD,FY2017Q2,2017,2,3,2017-07-30,%,,,,,2018-08-14__hd-us-20180814-q2-10q__437634.md:627,
Home Depot,HD,FY2017Q2,2017,2,3,2017-07-30,dollars in millions,28108.0,4463.0,,USDm,2018-08-14__hd-us-20180814-q2-10q__437634.md:605; 2018-08-14__hd-us-20180814-q2-10q__437634.md:606; 2018-08-14__hd-us-20180814-q2-10q__437634.md:611,100.0
Home Depot,HD,FY2017Q3,2017,3,3,2017-10-29,%,,,,,2018-11-13__hd-us-20181113-q3-10q__437630.md:621,
Home Depot,HD,FY2017Q3,2017,3,3,2017-10-29,dollars in millions,25026.0,3680.0,,USDm,2018-11-13__hd-us-20181113-q3-10q__437630.md:599; 2018-11-13__hd-us-20181113-q3-10q__437630.md:600; 2018-11-13__hd-us-20181113-q3-10q__437630.md:605,100.0
