company,ticker,published_at,doc_class,doc_kind,resolved_period,period_confidence,corpus_period_field,title,source_file
Home Depot,HD,2026-05-21,AGM,call-agm-pres,FY2026Q1,0.5,FY 2025,Annual Shareholders Meeting,challenge/offline-data/home-depot/call-transcripts/2026-05-21__hd-us-20260521-call-agm-pres__1042691.md
Home Depot,HD,2026-05-21,AGM,call-agm-qna,FY2026Q1,1.0,Q2 2027,Annual General Meeting Q&A,challenge/offline-data/home-depot/call-transcripts/2026-05-21__hd-us-20260521-call-agm-qna__1042692.md
Home Depot,HD,2026-05-19,EARNINGS_CALL,call-pres,FY2026Q1,0.67,Q1 2026,First Quarter Earnings Call,challenge/offline-data/home-depot/call-transcripts/2026-05-19__hd-us-20260519-call-pres__1039117.md
Home Depot,HD,2026-05-19,EARNINGS_CALL,call-qna,FY2026Q1,1.0,Q1 2027,Q1 Earnings Call Transcript,challenge/offline-data/home-depot/call-transcripts/2026-05-19__hd-us-20260519-call-qna__1039119.md
Home Depot,HD,2026-05-19,STRUCTURED_RESULT,q1-10q,FY2026Q1,1.0,Q1 2026,Quarterly Financial Report,challenge/offline-data/home-depot/filings/2026-05-19__hd-us-20260519-q1-10q__1053121.md
Home Depot,HD,2026-05-19,STRUCTURED_RESULT,q1-8k,FY2026Q1,1.0,Q1 2026,First Quarter Fiscal Results and Full Year Guidance Reaffirmation,challenge/offline-data/home-depot/filings/2026-05-19__hd-us-20260519-q1-8k-2__1038586.md
Home Depot,HD,2026-05-19,STRUCTURED_RESULT,q1-8k,FY2026Q1,1.0,Q1 2026,First Quarter Fiscal Results and Fiscal Guidance,challenge/offline-data/home-depot/filings/2026-05-19__hd-us-20260519-q1-8k__1038584.md
Home Depot,HD,2026-04-09,CONFERENCE,call-conf-pres,,1.0,Q1 2027,Retail Round Up Forum Presentation,challenge/offline-data/home-depot/call-transcripts/2026-04-09__hd-us-20260409-call-conf-pres__906255.md
Home Depot,HD,2026-04-09,CONFERENCE,call-conf-qna,,1.0,Q1 2027,"Market Conditions, Pro Strategy, and Financial Outlook Discussion",challenge/offline-data/home-depot/call-transcripts/2026-04-09__hd-us-20260409-call-conf-qna__906256.md
Home Depot,HD,2026-04-07,GENERIC_FILING,filing,,1.0,FY 2025,Annual Meeting Proxy Statement with Fiscal Year Performance Highlights,challenge/offline-data/home-depot/filings/2026-04-07__hd-us-20260407-filing-2__904279.md
Home Depot,HD,2026-04-07,GENERIC_FILING,filing,,1.0,FY 2026,Annual Meeting Proxy Voting Information,challenge/offline-data/home-depot/filings/2026-04-07__hd-us-20260407-filing__904273.md
Home Depot,HD,2026-03-23,GENERIC_FILING,filing,,1.0,FY 2025,Preliminary Proxy Statement and Annual Meeting Notice,challenge/offline-data/home-depot/filings/2026-03-23__hd-us-20260323-filing__865729.md
Home Depot,HD,2026-03-18,STRUCTURED_RESULT,fy-10k,FY2025Q4,1.0,FY 2025,Annual Report,challenge/offline-data/home-depot/filings/2026-03-18__hd-us-20260318-fy-10k__828355.md
Home Depot,HD,2026-02-24,EARNINGS_CALL,call-pres,FY2025Q4,1.0,Q4 2025,Fourth Quarter and Fiscal Year Earnings Call,challenge/offline-data/home-depot/call-transcripts/2026-02-24__hd-us-20260224-call-pres__629730.md
Home Depot,HD,2026-02-24,EARNINGS_CALL,call-qna,FY2025Q4,1.0,Q4 2026,Q4 2025 Earnings Call and 2026 Outlook,challenge/offline-data/home-depot/call-transcripts/2026-02-24__hd-us-20260224-call-qna__629737.md
Home Depot,HD,2026-02-24,STRUCTURED_RESULT,q4-10k,FY2025Q4,1.0,FY 2025,Annual Report,challenge/offline-data/home-depot/filings/2026-02-24__hd-us-20260224-q4-10k__940544.md
Home Depot,HD,2026-02-24,STRUCTURED_RESULT,q4-8k,FY2025Q4,1.0,FY 2025,Annual Report Filing,challenge/offline-data/home-depot/filings/2026-02-24__hd-us-20260224-q4-8k-2__904387.md
Home Depot,HD,2026-02-24,STRUCTURED_RESULT,q4-8k,FY2025Q4,1.0,Q4 2025,Fourth Quarter and Fiscal Year Results; Dividend Increase; Fiscal Year Guidance,challenge/offline-data/home-depot/filings/2026-02-24__hd-us-20260224-q4-8k__615609.md
Home Depot,HD,2025-12-10,EARNINGS_CALL,call-pres,FY2025Q3,1.0,FY 2025,Investor and Analyst Conference,challenge/offline-data/home-depot/call-transcripts/2025-12-10__hd-us-20251210-call-pres__384495.md
Home Depot,HD,2025-12-09,EARNINGS_CALL,call-pres,FY2025Q3,1.0,"FY 2025, FY 2026 Outlook",Investor and Analyst Conference: Strategic Outlook and Business Update,challenge/offline-data/home-depot/call-transcripts/2025-12-09__hd-us-20251209-call-pres-3__1570134.md
Home Depot,HD,2025-12-09,EARNINGS_CALL,call-qna,FY2025Q3,1.0,FY 2025 and FY 2026 outlook,Strategic Outlook and Q&A,challenge/offline-data/home-depot/call-transcripts/2025-12-09__hd-us-20251209-call-qna__1570136.md
Home Depot,HD,2025-12-09,SLIDE,slide,FY2025Q3,1.0,FY 2025,Investor and Analyst Conference Presentation,challenge/offline-data/home-depot/slides/2025-12-09__hd-us-20251209-slide__384215.md
Home Depot,HD,2025-11-18,EARNINGS_CALL,call-pres,FY2025Q3,1.0,Q3 2025,Third Quarter Earnings Call,challenge/offline-data/home-depot/call-transcripts/2025-11-18__hd-us-20251118-call-pres__1565276.md
Home Depot,HD,2025-11-18,EARNINGS_CALL,call-qna,FY2025Q3,1.0,Q3 2025,Quarterly Earnings Call Q&A,challenge/offline-data/home-depot/call-transcripts/2025-11-18__hd-us-20251118-call-qna__1565277.md
Home Depot,HD,2025-11-18,STRUCTURED_RESULT,q3-10q,FY2025Q3,1.0,Q3 2025,Quarterly Financial Report,challenge/offline-data/home-depot/filings/2025-11-18__hd-us-20251118-q3-10q__437649.md
Home Depot,HD,2025-11-18,STRUCTURED_RESULT,q3-8k,FY2025Q3,1.0,Q3 2025,Third Quarter Fiscal 2025 Results and Fiscal 2025 Guidance Update,challenge/offline-data/home-depot/filings/2025-11-18__hd-us-20251118-q3-8k__359994.md
Home Depot,HD,2025-09-04,CONFERENCE,call-conf-pres,,1.0,Q3 2026,Fireside Chat Transcript,challenge/offline-data/home-depot/call-transcripts/2025-09-04__hd-us-20250904-call-conf-pres__144641.md
Home Depot,HD,2025-09-04,CONFERENCE,call-conf-qna,,1.0,Q2 2025,Business Outlook and Strategic Initiatives Discussion,challenge/offline-data/home-depot/call-transcripts/2025-09-04__hd-us-20250904-call-conf-qna__144639.md
Home Depot,HD,2025-09-03,CONFERENCE,call-conf-pres,,1.0,Q2 2025,Fireside Chat on Q2 Performance and Outlook,challenge/offline-data/home-depot/call-transcripts/2025-09-03__hd-us-20250903-call-conf-pres-2__437752.md
Home Depot,HD,2025-08-25,STRUCTURED_RESULT,q2-10q,FY2025Q2,1.0,Q2 and H1 2025,Second Quarter and First Half Fiscal 2025 Financial and Operational Review,challenge/offline-data/home-depot/filings/2025-08-25__hd-us-20250825-q2-10q__144029.md
Home Depot,HD,2025-08-20,STRUCTURED_RESULT,q2-8k,FY2025Q2,1.0,Q2 2025,Second Quarter Fiscal 2025 Results and Fiscal 2025 Guidance,challenge/offline-data/home-depot/filings/2025-08-20__hd-us-20250820-q2-8k__143688.md
Home Depot,HD,2025-08-19,EARNINGS_CALL,call-pres,FY2025Q2,1.0,Q2 2025,Second Quarter Earnings Conference Call,challenge/offline-data/home-depot/call-transcripts/2025-08-19__hd-us-20250819-call-pres__143686.md
Home Depot,HD,2025-08-19,EARNINGS_CALL,call-qna,FY2025Q2,1.0,Q2 2025,Q2 Earnings Call,challenge/offline-data/home-depot/call-transcripts/2025-08-19__hd-us-20250819-call-qna__143687.md
Home Depot,HD,2025-08-19,STRUCTURED_RESULT,q2-10q,FY2025Q2,1.0,Q2 2025 and H1 2025,Quarterly Report,challenge/offline-data/home-depot/filings/2025-08-19__hd-us-20250819-q2-10q__148871.md
Home Depot,HD,2025-08-19,STRUCTURED_RESULT,q2-8k,FY2025Q2,1.0,Q2 2025,Second Quarter Fiscal Results and Full Year Guidance,challenge/offline-data/home-depot/filings/2025-08-19__hd-us-20250819-q2-8k__143666.md
Home Depot,HD,2025-05-20,EARNINGS_CALL,call-q1-pres,FY2025Q1,1.0,Q1 2025,First Quarter Earnings Conference Call,challenge/offline-data/home-depot/call-transcripts/2025-05-20__hd-us-20250520-call-q1-pres__38060.md
Home Depot,HD,2025-05-20,EARNINGS_CALL,call-q1-qna,FY2025Q1,1.0,Q1 2025,Earnings Call Transcript,challenge/offline-data/home-depot/call-transcripts/2025-05-20__hd-us-20250520-call-q1-qna__38076.md
Home Depot,HD,2025-05-20,EARNINGS_CALL,call,FY2025Q1,0.67,Q1 2025,Q1 Earnings Call,challenge/offline-data/home-depot/call-transcripts/2025-05-20__hd-us-20250520-call__134516.md
Home Depot,HD,2025-05-20,STRUCTURED_RESULT,q1-10q,FY2025Q1,1.0,Q1 2025,First Quarter Financial Report,challenge/offline-data/home-depot/filings/2025-05-20__hd-us-20250520-q1-10q__101832.md
Home Depot,HD,2025-05-20,STRUCTURED_RESULT,q1-8k,FY2025Q1,1.0,Q1 2025,First Quarter Results and Fiscal Year Guidance Reaffirmation,challenge/offline-data/home-depot/filings/2025-05-20__hd-us-20250520-q1-8k__101847.md
Home Depot,HD,2025-04-07,GENERIC_FILING,filing,,1.0,FY 2025,Annual Meeting Proxy Statement,challenge/offline-data/home-depot/filings/2025-04-07__hd-us-20250407-filing-2__437651.md
Home Depot,HD,2025-04-07,GENERIC_FILING,filing,FY2025Q1,1.0,Q1 2026,Schedule 14A Definitive Additional Materials Filing,challenge/offline-data/home-depot/filings/2025-04-07__hd-us-20250407-filing__437650.md
Home Depot,HD,2025-04-03,CONFERENCE,call-conf-pres,,1.0,FY 2025,Retail Roundup Conference Fireside Chat,challenge/offline-data/home-depot/call-transcripts/2025-04-03__hd-us-20250403-call-conf-pres-3__437749.md
Home Depot,HD,2025-03-20,STRUCTURED_RESULT,fy-10k,FY2024Q4,1.0,FY 2025,Annual Report,challenge/offline-data/home-depot/filings/2025-03-20__hd-us-20250320-fy-10k__778723.md
Home Depot,HD,2025-02-25,EARNINGS_CALL,call-q4-pres,FY2024Q4,1.0,"Q4 2024 and FY 2024, Outlook FY 2025",Fourth Quarter and Fiscal Year Earnings Call,challenge/offline-data/home-depot/call-transcripts/2025-02-25__hd-us-20250225-call-q4-pres__38092.md
