fiscal_period,fiscal_year,fiscal_quarter,period_end,cost_of_sales,dividend_per_share,eps_adjusted_diluted,eps_basic,eps_diluted,eps_gaap_diluted,gross_margin,inventories_growth,net_income,operating_cash_flow,operating_cash_flow_growth,operating_margin_adjusted_rate,operating_margin_rate,operating_profit,operating_profit_adjusted,operating_profit_gaap,revenue,revenue_growth
FY2013Q4,2013,4,2014-02-02,11504.0,,,,,,6192.0,,,,,,,1761.0,,,17696.0,
FY2014Q1,2014,1,2014-05-04,-98.0,0.47,,1.01,1.0,,131.0,-1272.0,1379.0,2568.0,2568.0,,,2277.0,,,33.0,102.0
FY2014Q2,2014,2,2014-08-03,15804.0,0.47,,1.52,1.52,,8007.0,,2050.0,,,,,3448.0,,,23811.0,
FY2014Q3,2014,3,2014-11-02,13473.0,0.47,,1.16,1.15,,7043.0,,1537.0,,,,,2553.0,,,20516.0,
FY2014Q4,2014,4,2015-02-01,12439.0,,,,,,6723.0,,,,,,,2191.0,,,19162.0,
FY2015Q1,2015,1,2015-05-03,13712.0,0.59,,1.22,1.21,,7179.0,-1198.0,1579.0,3404.0,3404.0,,,2597.0,,,20891.0,131.0
FY2015Q2,2015,2,2015-08-02,16464.0,0.59,,1.74,1.73,,8365.0,,2234.0,,,,,3647.0,,,24829.0,
FY2015Q3,2015,3,2015-11-01,14254.0,0.59,,1.36,1.35,,7565.0,,1725.0,,,,,2981.0,,,21819.0,
FY2015Q4,2015,4,2016-01-31,13824.0,,,1.17,1.17,,7156.0,,1471.0,,,,,2549.0,,,20980.0,
FY2016Q1,2016,1,2016-05-01,14971.0,0.69,,1.45,1.44,,7791.0,-1319.0,1803.0,486.0,3636.0,,,3077.0,,,22762.0,30.0
FY2016Q2,2016,2,2016-07-31,17545.0,0.69,,1.98,1.97,,8927.0,,2441.0,,,,,4103.0,,,26472.0,
FY2016Q3,2016,3,2016-10-30,15112.0,0.69,,1.61,1.6,,8042.0,,1969.0,,,,,3320.0,,,23154.0,
FY2016Q4,2016,4,2017-01-29,14654.0,,,1.45,1.44,,7553.0,,1744.0,,,,,2927.0,,,22207.0,
FY2017Q1,2017,1,2017-04-30,-85.0,0.89,,1.68,1.67,,126.0,-1051.0,2014.0,4564.0,4564.0,,,3349.0,,,33.0,166.0
FY2017Q2,2017,2,2017-07-30,18647.0,0.89,,2.26,2.25,,9461.0,,2672.0,,,,,4463.0,,,28108.0,
FY2017Q3,2017,3,2017-10-29,16378.0,0.89,,1.85,1.84,,8648.0,,2165.0,,,,,3680.0,,,25026.0,
FY2017Q4,2017,4,2018-01-28,15790.0,,,1.53,1.52,,8093.0,,1779.0,,,,,3189.0,,,23883.0,
FY2018Q1,2018,1,2018-04-29,-98.0,1.03,,2.09,2.08,,131.0,-1687.0,2404.0,3981.0,-319.0,,,3381.0,,,33.0,208.0
FY2018Q2,2018,2,2018-07-29,-119.0,1.03,,3.06,3.05,,152.0,,3506.0,,,,,4901.0,,,33.0,
FY2018Q3,2018,3,2018-10-28,-83.0,1.03,,2.53,2.51,,147.0,,2867.0,,,,,3870.0,,,64.0,
FY2018Q4,2018,4,2019-02-03,-82.0,,,,,,168.0,,,,,,,,,,86.0,
FY2019Q1,2019,1,2019-05-05,17364.0,1.36,,2.28,2.27,,9017.0,,2513.0,23.0,-391.0,,,3597.0,,,26381.0,
FY2019Q2,2019,2,2019-08-04,20407.0,1.36,,3.18,3.17,,10432.0,,3479.0,,,,,4896.0,,,30839.0,
