fiscal_period,fiscal_year,fiscal_quarter,period_end,cost_of_sales,dividend_per_share,eps_basic,eps_diluted,gross_margin,inventories,net_income,operating_cash_flow,operating_cash_flow_growth,operating_profit,revenue,total_assets
FY2009,2009,,2010-01-28,,0.945,,2.01,,10625.0,3338.0,,,,67997.0,40125.0
FY2010,2010,,2011-01-28,,1.04,,2.47,,10325.0,3883.0,,,,70395.0,40518.0
FY2012,2012,,2013-01-28,,1.56,,3.76,,11057.0,5385.0,,,,78812.0,39996.0
FY2013,2013,,2014-01-28,51422.0,1.88,,4.71,27390.0,11079.0,5385.0,1757.0,258.0,9166.0,78812.0,39449.0
FY2014,2014,,2015-02-01,-382.0,2.36,,5.46,598.0,11809.0,6345.0,8242.0,209.0,10988.0,216.0,41973.0
FY2015,2015,,2016-01-31,58254.0,2.76,5.49,6.45,30265.0,12549.0,7009.0,12031.0,401.0,12254.0,88519.0,42966.0
FY2016,2016,,2017-01-29,62282.0,4.12,6.47,9.73,32313.0,,7957.0,13038.0,,13427.0,94595.0,
FY2017,2017,,2018-01-28,66548.0,5.44,7.33,10.25,34356.0,,8630.0,13723.0,,14681.0,100904.0,
FY2018,2018,,2019-01-28,87257.0,6.0,11.98,11.94,44853.0,,12866.0,18839.0,,18278.0,132110.0,
FY2019,2019,,2020-02-02,72653.0,6.6,10.29,15.53,37572.0,,11242.0,16571.0,,15843.0,110225.0,
FY2020,2020,,2021-01-31,87257.0,7.6,11.98,16.69,44853.0,,12866.0,14615.0,,18278.0,132110.0,
FY2021,2021,,2022-01-30,100325.0,8.36,15.59,15.53,50832.0,,16433.0,,,23040.0,151157.0,
FY2022,2022,,2023-01-29,104625.0,9.0,16.74,16.69,52778.0,,17105.0,,,24039.0,157403.0,
FY2023,2023,,2024-01-28,101709.0,9.2,15.16,15.11,50960.0,,15143.0,,,21689.0,152669.0,
